Afa	South Corsica, Corsica	134045	8	2157	41.98396	8.79833
Afaahiti		10021339	9	5186	-17.74395	-149.32444
Afareaitu	Iles du Vent	10045472	9	3213	-17.55	-149.78333
Affalterbach	Regierungsbezirk Stuttgart, Baden-Wurttemberg	405290	8	4623	48.92267	9.32362
Affeltrangen	Bezirk Weinfelden, Thurgau	1684496	8	2135	47.52581	9.03307
Afferden	Gemeente Druten, Gelderland	2728544	10	1405	51.88	5.63472
Affi	Provincia di Verona, Veneto	45303	8	1733	45.55297	10.7864
Affile	Citta metropolitana di Roma Capitale, Lazio	41621	8	1320	41.88435	13.09853
Affing	Swabia, Bavaria	393482	8	5171	48.46667	10.98333
Affoltern am Albis	Bezirk Affoltern, Zurich	1682080	8	8928	47.27743	8.45128
Affton	Saint Louis County, Missouri	140053	8	20307	38.55061	-90.33317
Aflenz Kurort	Politischer Bezirk Bruck-Muerzzuschlag, Styria	3902611	8	1017	47.54211	15.23898
Afogados da Ingazeira	Afogados Da Ingazeira, Pernambuco	303749	8	25060	-7.75083	-37.63917
Afogados da Ingazeira	Afogados Da Ingazeira, Pernambuco	6203081	9	25060	-7.75083	-37.63917
Afonso Bezerra	Afonso Bezerra, Rio Grande do Norte	301186	8	6947	-5.49833	-36.50556
Afonso Claudio	Afonso Claudio, Espirito Santo	1831575	8	13543	-20.07417	-41.12389
Afonso Claudio	Afonso Claudio, Espirito Santo	1905435	9	13543	-20.07417	-41.12389
Afragola	Napoli, Campania	40907	8	64470	40.92298	14.30935
Afton	Lincoln County, Wyoming	252259	8	1972	42.72493	-110.93187
Afton	Ottawa County, Oklahoma	184172	8	1050	36.69369	-94.96302
Afton	Washington County, Minnesota	136800	8	2966	44.90275	-92.78354
Afula	Northern District	1380226	8	44930	32.60907	35.2892
