An Bien	Kien Giang	7138272	6	0	9.81532	105.06366
An Lao	Binh Dinh	7066182	6	0	14.61241	108.8899
An Muileann gCearr	Westmeath, Leinster	4127572	10	17262	53.52466	-7.3385
An Nasr	Rafah, Gaza Strip	10522701	9	6211	31.28137	34.30253
An Nhon	Binh Dinh	7067875	6	0	13.88579	109.10823
An Nusayrat	Deir Al Balah, Gaza Strip	10523180	8	36123	31.44861	34.3925
An Ros	Fingal County, Leinster	5419983	10	9231	53.52424	-6.10497
An Thi	Hung Yen	7129730	6	0	20.81835	106.09118
Anabar	Anabar	14227197	4	378	-0.50845	166.95326
Anabar	Anabar	8437552	6	378	-0.50845	166.95326
Anacapri	Napoli, Campania	40598	8	6403	40.5517	14.21225
Anaco	Municipio Anaco, Anzoategui	14500277	8	139397	9.42958	-64.46428
Anaconda	Deer Lodge County, Montana	142396	6	9417	46.12854	-112.94226
Anacortes	Skagit County, Washington	237857	8	16403	48.5126	-122.61267
Anadarko	Caddo County, Oklahoma	185288	8	6717	35.07256	-98.24366
Anadia	Anadia, Alagoas	303866	8	9574	-9.68444	-36.30417
Anadia	Anadia, Alagoas	6179446	9	9574	-9.68444	-36.30417
Anadia	Anadia, Aveiro	5325844	7	0	40.43841	-8.43352
Anadon	Provincia de Teruel, Aragon	345371	8	19	40.98225	-0.98367
Anage	Anage, Bahia	362512	8	3758	-14.61222	-41.13556
Anage	Anage, Bahia	6451983	9	3758	-14.61222	-41.13556
Anagni	Provincia di Frosinone, Lazio	41475	8	9206	41.7435	13.15542
Anaheim	Orange County, California	253985	8	350742	33.83529	-117.9145
Anahuac	Chambers County, Texas	3492821	8	2324	29.773	-94.6827
Anajatuba	Anajatuba, Maranhao	332973	8	5627	-3.26444	-44.61972
Anakapalle	Vishakhapatnam, Andhra Pradesh	10136810	6	84357	17.69134	83.00395
Anamizu	Hosu Gun, Ishikawa	4800047	7	17840	37.23333	136.9
Anamosa	Jones County, Iowa	128853	8	5469	42.10834	-91.28516
Anan	Anan Shi, Tokushima	4055857	7	70285	33.91667	134.65
Anandnagar	Maharajganj, Uttar Pradesh	10032842	6	11220	27.10062	83.27156
Ananindeua	Ananindeua, Para	185610	8	433956	-1.36556	-48.37222
Ananindeua	Ananindeua, Para	6428391	9	433956	-1.36556	-48.37222
Anantapur	Anantapur, Andhra Pradesh	10215519	6	240442	14.67784	77.60813
Anantnag	Anantnag, Jammu and Kashmir	10380141	6	79821	33.73068	75.15418
Anao	Province of Tarlac, Central Luzon	13942562	6	0	15.7291	120.6253
Anapoima	Anapoima, Cundinamarca	1412973	6	4953	4.55099	-74.53517
Anapolis	Anapolis, Goias	334463	8	319587	-16.32667	-48.95278
Anarcs	Szabolcs-Szatmar-Bereg	1452611	8	2021	48.17642	22.11167
Anasco	Anasco Barrio-Pueblo, Anasco	4468537	6	6136	18.28273	-67.13962
Anastacio	Anastacio, Mato Grosso do Sul	334013	8	18817	-20.48361	-55.80694
Anatuya	Departamento de General Taboada, Santiago del Estero	3350666	8	20261	-28.46064	-62.83472
Anau	Leeward Islands	10045973	9	1412	-16.50148	-151.72135
Anaya	Provincia de Segovia, Castille and Leon	348200	8	137	40.99184	-4.3095
Anaya de Alba	Provincia de Salamanca, Castille and Leon	341597	8	277	40.72828	-5.49266
Anca	Cantanhede, Coimbra	6549241	8	2625	40.27161	-8.5209
Ancahuasi	Provincia de Anta, Cusco	1923714	8	0	-13.4425	-72.31083
Ancarano	Provincia di Teramo, Abruzzo	42197	8	946	42.83767	13.74662
Ancaster	Lincolnshire, England	1407957	10	1294	52.98276	-0.53593
Ancenis	Loire-Atlantique, Pays de la Loire	147380	9	7840	47.36667	-1.16667
Ancerville	Meuse, Grand Est	2967659	8	2771	48.63574	5.02091
Anchau	Kuban, Kaduna	3709383	8	15538	10.96245	8.39233
Anchonga	Provincia de Angaraes, Huancavelica	1933565	8	280	-12.88333	-74.7
Anchorage	Jefferson County, Kentucky	130395	8	2420	38.26674	-85.53302
Anchuelo	Provincia de Madrid, Madrid	341631	8	540	40.46527	-3.26838
Anchuras	Provincia de Ciudad Real, Castille-La Mancha	347962	8	0	39.48059	-4.83381
Ancient Oaks	Lehigh County, Pennsylvania	189134	8	6661	40.54732	-75.58935
Ancon	Distrito de Panama, Panama	11382233	8	20706	8.96015	-79.5514
Ancona	Provincia di Ancona, The Marches	42499	8	89994	43.5942	13.50337
Ancone	Drome, Auvergne-Rhone-Alpes	70276	8	1042	44.58107	4.72711
Ancroft	Northumberland, England	8423409	10	0	55.7	-2
Ancuya	Ancuya, Narino	11323982	6	5852	1.2633	-77.51376
Ancy-le-Franc	Yonne, Bourgogne-Franche-Comte	1998723	8	1089	47.77586	4.16361
Ancy-sur-Moselle	Moselle, Grand Est	1410843	9	1455	49.05689	6.05775
