Aquara	Provincia di Salerno, Campania	40509	8	803	40.44391	15.25386
Aquebogue	Suffolk County, New York	175686	8	2438	40.94454	-72.62704
Aquia	Provincia de Bolognesi, Ancash	1953208	8	809	-10.0742	-77.14649
Aquidaba	Aquidaba, Sergipe	303893	8	10596	-10.28139	-37.01861
Aquidaba	Aquidaba, Sergipe	6170295	9	10596	-10.28139	-37.01861
Aquila	Aquila, Veracruz	6037596	6	754	18.79565	-97.30845
Aquileia	Udine, Friuli Venezia Giulia	179240	8	2939	45.7683	13.36779
Aquilonia	Provincia di Avellino, Campania	40960	8	1695	40.98688	15.4751
Aquino	Provincia di Frosinone, Lazio	41305	8	3735	41.49388	13.7052
Aquiraz	Aquiraz, Ceara	302563	8	65116	-3.90139	-38.39111
Aquitania	Aquitania, Boyaca	1315393	6	5718	5.51858	-72.88387
Aquixtla	Aquixtla, Puebla	6037597	6	901	19.79582	-97.93553
