Clabecq	Province du Brabant Wallon, Wallonia	3415698	9	4782	50.69245	4.2215
Claiborne	Ouachita Parish, Louisiana	132268	8	11507	32.51598	-92.1918
Claira	Pyrenees-Orientales, Occitanie	1382208	8	2866	42.76023	2.95606
Clairac	Lot-et-Garonne, Nouvelle-Aquitaine	1969330	8	2532	44.36016	0.37829
Clairoix	Oise, Hauts-de-France	269918	8	2076	49.44264	2.84628
Clairton	Allegheny County, Pennsylvania	187430	8	6681	40.29229	-79.88171
Clairvaux-les-Lacs	Jura, Bourgogne-Franche-Comte	960185	8	1520	46.57473	5.74825
Claix	Isere, Auvergne-Rhone-Alpes	226348	8	8127	45.11994	5.67292
Clamart	Hauts-de-Seine, Ile-de-France	29036	8	51400	48.80299	2.26692
Clamecy	Nievre, Bourgogne-Franche-Comte	1692872	7	4531	47.46017	3.5194
Clamecy	Nievre, Bourgogne-Franche-Comte	394020	8	4531	47.46017	3.5194
Clane	Kildare, Leinster	2033060	10	7280	53.29139	-6.68917
Clanton	Chilton County, Alabama	110267	8	8844	32.83874	-86.62943
Clapham	Bedford, England	5302528	10	4560	52.16085	-0.49529
Clapham	Mitcham, South Australia	9099224	9	1592	-34.98989	138.60158
Clapiers	Herault, Occitanie	28913	8	5237	43.65833	3.88917
Clara	Uibh Fhaili, Leinster	4123605	10	3242	53.3425	-7.61389
Clara City	Chippewa County, Minnesota	137337	8	1320	44.95496	-95.3664
Clare	Clare County, Michigan	135080	8	3082	43.81947	-84.76863
Clare	Clare and Gilbert Valleys, South Australia	6589318	9	3223	-33.83325	138.61064
Clare	Suffolk, England	4537782	10	2028	52.07861	0.58167
Claregalway	County Galway, Connacht	6091707	10	1248	53.33861	-8.945
Claremont	Catawba County, North Carolina	180153	8	1365	35.71458	-81.14619
Claremont	Claremont, Western Australia	11689229	9	8033	-31.97961	115.7823
Claremont	Glenorchy, Tasmania	10603755	9	7629	-42.78333	147.25
Claremont	Los Angeles County, California	112055	8	36283	34.09668	-117.71978
Claremont	Sullivan County, New Hampshire	170186	8	12984	43.37674	-72.34676
Claremont Meadows	Penrith Municipality, New South Wales	5487603	9	4728	-33.77587	150.75193
Claremore	Rogers County, Oklahoma	184208	8	18997	36.3126	-95.61609
Clarence Center	Erie County, New York	176344	8	2257	43.01061	-78.63753
Clarence Gardens	Mitcham, South Australia	9099242	9	2279	-34.97539	138.57983
Clarence Park	Unley, South Australia	9099238	9	2487	-34.96416	138.5806
Clarence Town	Dungog, New South Wales	6058963	9	1943	-32.58395	151.77757
Clarence-Rockland	Ontario	7050472	8	20790	45.5501	-75.29101
Clarendon	Donley County, Texas	6595884	8	1944	34.93783	-100.8882
Clarendon	Monroe County, Arkansas	13650895	8	1504	34.69315	-91.31374
Clarendon	Rutland County, Vermont	8903559	8	2489	43.51618	-72.96983
Clarendon Hills	DuPage County, Illinois	125465	8	8676	41.79753	-87.95478
Clarendon Vale	Clarence, Tasmania	10625774	9	1271	-42.88988	147.44368
Clarensac	Gard, Occitanie	378802	8	3382	43.82536	4.22047
Clares de Ribota	Provincia de Zaragoza, Aragon	339791	8	99	41.52957	-1.83773
Claret	Herault, Occitanie	164070	8	1324	43.86244	3.90522
Clarinda	Kingston, Victoria	2401682	9	7441	-37.94066	145.10238
Clarinda	Page County, Iowa	129290	8	5418	40.73981	-95.038
Clarines	Municipio Manuel Ezequiel Bruzual, Anzoategui	14445986	8	21582	9.93991	-65.16517
Clarion	Clarion County, Pennsylvania	188236	8	6089	41.21479	-79.38532
Clarion	Wright County, Iowa	128457	8	2767	42.73164	-93.73299
Clark	Clark County, South Dakota	194892	8	1050	44.87774	-97.73314
Clark	Union County, New Jersey	170786	8	14628	40.64094	-74.3107
Clark Mills	Oneida County, New York	176365	8	1905	43.09229	-75.37962
Clarkdale	Yavapai County, Arizona	11000109	8	4240	34.77113	-112.05794
Clarkesville	Habersham County, Georgia	119883	8	1746	34.6126	-83.52489
Clarks	Caldwell Parish, Louisiana	132055	8	1006	32.02655	-92.13903
Clarks Green	Lackawanna County, Pennsylvania	187532	8	1476	41.49286	-75.69964
Clarks Summit	Lackawanna County, Pennsylvania	187531	8	4950	41.48869	-75.70852
Clarksburg	Harrison County, West Virginia	240043	8	16152	39.28065	-80.34453
Clarksdale	Coahoma County, Mississippi	7161885	8	16847	34.20011	-90.57093
Clarkson	Monroe County, New York	13729017	8	4358	43.23312	-77.92751
Clarkson	Wanneroo, Western Australia	11689640	9	13904	-31.68282	115.7247
Clarkson Valley	Saint Louis County, Missouri	139950	8	2652	38.61839	-90.58929
Clarkston	Asotin County, Washington	237444	8	7317	46.41629	-117.04557
Clarkston	DeKalb County, Georgia	119365	8	12215	33.80955	-84.23964
Clarkston	Oakland County, Michigan	135060	8	1035	42.73586	-83.41883
Clarkston Heights-Vineland	Asotin County, Washington	237588	8	6326	46.38742	-117.083
Clarksville	Butler County, Iowa	128665	8	1409	42.7847	-92.66769
Clarksville	Clark County, Indiana	127253	8	21866	38.29674	-85.75996
Clarksville	Johnson County, Arkansas	111207	8	9433	35.47147	-93.46657
