Doagh	Antrim and Newtownabbey, Northern Ireland	4478864	10	1151	54.75	-6.08333
Doan Hung	Phu Tho	7117246	6	0	21.62254	105.18462
Doba	Comuna Doba, Satu Mare	11671547	8	2727	47.73333	22.71667
Dobarce	Zhelino	6940193	8	1306	41.9553	21.08875
Dobbertin	Mecklenburg-Vorpommern	449907	8	1264	53.62306	12.07466
Dobczyce	Powiat myslenicki, Lesser Poland	2775917	8	6171	49.88109	20.08936
Dobel	Karlsruhe Region, Baden-Wurttemberg	308260	8	2252	48.8	8.5
Dobele	Dobele, Dobeles novads	1858166	7	11225	56.62372	23.2751
Doberlug-Kirchhain	Brandenburg	1322948	8	10151	51.62578	13.56232
Dobersberg	Politischer Bezirk Waidhofen an der Thaya, Lower Austria	403386	8	772	48.9151	15.32188
Doberschutz	Saxony	446698	8	4612	51.4987	12.74792
Dobersdorf	Schleswig-Holstein	289174	8	1259	54.31893	10.28011
Dobiegniew	Powiat strzelecko-drezdenecki, Lubusz	2883388	8	3179	52.96947	15.75362
Dobje pri Planini	Dobje	1681495	8	114	46.13747	15.39412
Doblas	Departamento de Atreuco, La Pampa	3496650	8	1860	-37.14967	-64.01183
Doboj	Srpska	14590271	9	27235	44.73179	18.08698
Doboz	Bekes County	1026216	8	4466	46.73333	21.25
Dobra	Comuna Dobra, Dambovita	13854986	8	3806	44.78333	25.71667
Dobra	Comuna Dobra, Hunedoara	10541475	8	3459	45.91667	22.56667
Dobra	Okres Frydek-Mistek, Moravskoslezsky	437875	8	3032	49.67383	18.41393
Dobra	Powiat limanowski, Lesser Poland	6031393	8	3100	49.71793	20.25347
Dobra	Powiat lobeski, West Pomerania	3069306	8	2336	53.58625	15.30977
Dobra	Powiat turecki, Greater Poland	2705471	8	1450	51.91664	18.61556
Dobrany	Okres Plzen-jih, Plzensky kraj	423942	10	5779	49.65482	13.29307
Dobrany	Okres Plzen-jih, Plzensky kraj	438168	8	5779	49.65482	13.29307
Dobratice	Okres Frydek-Mistek, Moravskoslezsky	433858	10	1047	49.66039	18.49226
Dobratice	Okres Frydek-Mistek, Moravskoslezsky	437815	8	1047	49.66039	18.49226
Dobratici	Federation of B&H	12468148	9	0	44.37792	17.41426
Dobre	Powiat minski, Mazovia	12118322	8	1627	52.32097	21.67881
Dobre	Powiat radziejowski, Kujawsko-Pomorskie	14452315	9	2500	52.68398	18.57762
Dobre Miasto	Powiat olsztynski, Warmia-Masuria	2990699	8	10514	53.98668	20.39749
Dobri Dol	Vrapchishte	6893316	8	4124	41.8652	20.89009
Dobrich	Obshtina Dobrich, Dobrich	12996399	8	79269	43.56667	27.83333
Dobrich	Obshtina Dobrich, Dobrich	4761414	7	79269	43.56667	27.83333
Dobrichovice	Okres Praha-zapad, Central Bohemia	434980	10	3651	49.92749	14.27469
Dobrichovice	Okres Praha-zapad, Central Bohemia	442229	8	3651	49.92749	14.27469
Dobris	Okres Pribram, Central Bohemia	435376	10	8828	49.78113	14.16717
Dobris	Okres Pribram, Central Bohemia	441424	8	8828	49.78113	14.16717
Dobriv	Okres Rokycany, Plzensky kraj	425675	10	1110	49.71566	13.68681
Dobriv	Okres Rokycany, Plzensky kraj	439831	8	1110	49.71566	13.68681
Dobrna	Dobrna	1676307	8	548	46.3375	15.22639
Dobrodzien	Powiat oleski, Opole Voivodeship	2714296	8	4014	50.72874	18.44501
Dobrokoz	Tolna	1503714	8	2120	46.42178	18.23953
Dobromerice	Okres Louny, Ustecky kraj	435590	10	1329	50.37009	13.79473
Dobromerice	Okres Louny, Ustecky kraj	439369	8	1329	50.37009	13.79473
Dobromir	Comuna Dobromir, Constanta	11520344	8	2597	44.01667	27.78333
Dobromyl	Lviv Oblast	7992868	9	4537	49.57086	22.78666
Dobronin	Okres Jihlava, Vysocina	433727	10	1913	49.47833	15.64992
Dobronin	Okres Jihlava, Vysocina	440411	8	1913	49.47833	15.64992
Dobropillia	Donetsk Oblast	3936181	9	28757	48.46147	37.08524
Dobropillia	Donetsk Oblast	3940067	9	28757	48.46147	37.08524
Dobrosloveni	Comuna Dobrosloveni, Olt	9742480	8	3821	44.18333	24.36667
Dobroszyce	Powiat olesnicki, Lower Silesia	6252443	8	2376	51.26776	17.34205
Dobrota	Kotor	12547630	8	5435	42.45417	18.76833
Dobroteasa	Comuna Dobroteasa, Olt	9744196	8	2121	44.78333	24.38333
Dobrotesti	Comuna Dobrotesti, Dolj	9695131	8	1392	43.96141	24.12405
Dobrovice	Okres Mlada Boleslav, Central Bohemia	426644	10	2954	50.36933	14.96233
Dobrovice	Okres Mlada Boleslav, Central Bohemia	437701	8	2954	50.36933	14.96233
Dobrun	Comuna Dobrun, Olt	9744230	8	3419	44.26667	24.21667
Dobrusevo	Mogila	6888531	8	2103	41.16861	21.4825
