Ebebiyin	Kie-Ntem	12719615	8	24831	2.15106	11.33528
Ebejico	Ebejico, Antioquia	1343271	6	10338	6.32598	-75.76835
Ebeleben	Thuringia	2389083	7	3155	51.28283	10.72999
Ebeleben	Thuringia	2389086	8	3155	51.28283	10.72999
Ebelsbach	Regierungsbezirk Unterfranken, Bavaria	388843	8	3946	49.98572	10.67442
Ebem Ohafia	Ohafia, Abia	3713511	6	0	5.63108	7.83024
Eben im Pongau	Politischer Bezirk Sankt Johann im Pongau, Salzburg	973317	8	1768	47.4	13.4
Ebenau	Politischer Bezirk Salzburg-Umgebung, Salzburg	1585661	8	198	47.79073	13.17527
Ebendorf	Saxony-Anhalt	3979969	9	2096	52.18551	11.57478
Ebenfurth	Politischer Bezirk Wiener Neustadt, Lower Austria	110386	8	2564	47.87738	16.36731
Ebensburg	Cambria County, Pennsylvania	188658	8	3203	40.48507	-78.72474
Ebensee	Politischer Bezirk Gmunden, Upper Austria	10939665	10	4125	47.80716	13.779
Ebensfeld	Upper Franconia, Bavaria	1026854	8	5721	50.0664	10.95835
Ebenthal	Politischer Bezirk Gaenserndorf, Lower Austria	105915	8	923	48.43333	16.78333
Ebenweiler	Tuebingen Region, Baden-Wurttemberg	2808125	8	1116	47.9	9.51667
Eberau	Politischer Bezirk Guessing, Burgenland	109703	8	366	47.10764	16.46044
Eberbach	Karlsruhe Region, Baden-Wurttemberg	453363	8	15624	49.4668	8.99016
Eberdingen	Regierungsbezirk Stuttgart, Baden-Wurttemberg	405819	8	6518	48.87942	8.96502
Ebergoetzen	Lower Saxony	1399066	8	1886	51.57096	10.10632
Ebergoetzen	Lower Saxony	14486774	9	1886	51.57096	10.10632
Eberhardzell	Tuebingen Region, Baden-Wurttemberg	2801319	8	4026	48	9.81667
Ebermannsdorf	Upper Palatinate, Bavaria	1028562	8	2524	49.39375	11.93582
Ebermannstadt	Upper Franconia, Bavaria	1080480	8	6864	49.78154	11.18168
Eberndorf	Politischer Bezirk Voelkermarkt, Carinthia	67009	8	1124	46.59139	14.64361
Ebernhahn	Rheinland-Pfalz	535126	8	1266	50.47278	7.77
Ebersbach	Saxony	1310909	9	8952	51.00762	14.58621
Ebersbach	Saxony	415415	9	1161	51.099	13.1135
Ebersbach	Saxony	551161	8	5077	51.23333	13.65
Ebersbach an der Fils	Regierungsbezirk Stuttgart, Baden-Wurttemberg	2792717	8	15919	48.716	9.5236
Ebersbach-Musbach	Tuebingen Region, Baden-Wurttemberg	2808126	8	1815	47.96667	9.58333
Ebersberg	Upper Bavaria, Bavaria	929913	8	11041	48.0771	11.97063
Eberschwang	Politischer Bezirk Ried im Innkreis, Upper Austria	918920	8	497	48.15504	13.56194
Ebersdorf	Lower Saxony	1079024	8	1153	53.52514	9.04897
Ebersdorf	Politischer Bezirk Hartberg-Fuerstenfeld, Styria	37358	8	825	47.19852	15.96219
Ebersheim	Bas-Rhin, Grand Est	70097	8	1968	48.30438	7.49903
Eberstadt	Regierungsbezirk Stuttgart, Baden-Wurttemberg	409712	8	3336	49.18028	9.32111
Eberstalzell	Wels-Land, Upper Austria	63168	8	1065	48.04392	13.98319
Eberstein	Politischer Bezirk Sankt Veit an der Glan, Carinthia	105883	8	694	46.80806	14.56
Eberswalde	Brandenburg	1318338	8	41980	52.83492	13.81951
Ebertsheim	Rheinland-Pfalz	1249742	8	1423	49.56833	8.10861
Ebertsheim	Rheinland-Pfalz	8322122	9	1423	49.56833	8.10861
Ebes	Hajdu-Bihar	1405226	8	4468	47.46667	21.5
Ebetsu	Ebetsu-shi, Hokkaido	4085290	7	133953	43.10806	141.55056
Ebhausen	Karlsruhe Region, Baden-Wurttemberg	1181073	8	4744	48.58333	8.68333
Ebikon	Lucerne-Land District, Lucerne	1682826	8	11471	47.07937	8.34041
Ebnat-Kappel	Wahlkreis Toggenburg, Saint Gallen	1683874	8	4852	47.26195	9.12473
Ebnath	Upper Palatinate, Bavaria	975283	8	1374	49.95	11.93333
Eboli	Provincia di Salerno, Campania	40564	8	26183	40.61747	15.05693
Ebreuil	Allier, Auvergne-Rhone-Alpes	2193140	8	1246	46.11548	3.08677
Ebringen	Freiburg Region, Baden-Wurttemberg	1946218	8	2747	47.9578	7.77652
Ebstorf	Lower Saxony	1460253	8	5471	53.02785	10.41839
