Edam	Gemeente Edam-Volendam, North Holland	302127	10	7380	52.51215	5.04805
Edcouch	Hidalgo County, Texas	6587468	8	3316	26.29396	-97.96056
Eddelak	Schleswig-Holstein	938057	8	1455	53.95	9.15
Edderitz	Saxony-Anhalt	2104819	9	1250	51.69933	11.93712
Eddington	Penobscot County, Maine	12207605	8	2133	44.82618	-68.69337
Eddystone	Delaware County, Pennsylvania	187640	8	2407	39.86011	-75.34436
Eddyville	Lyon County, Kentucky	130744	8	2577	37.0945	-88.0803
Eddyville	Wapello County, Iowa	128749	8	1012	41.1565	-92.63739
Ede	Gemeente Ede, Gelderland	334640	10	67670	52.03333	5.65833
Ede	Gemeente Ede, Gelderland	418760	8	67670	52.03333	5.65833
Edegem	Provincie Antwerpen, Flanders	58565	8	21839	51.15662	4.44504
Edeia	Edeia, Goias	334540	8	9838	-17.33833	-49.93139
Edeleny	Borsod-Abauj-Zemplen	1317774	8	11037	48.3	20.73333
Edeleny	Borsod-Abauj-Zemplen	1317784	8	11037	48.3	20.73333
Edeleny	Borsod-Abauj-Zemplen	1317800	8	11037	48.3	20.73333
Edelsbach bei Feldbach	Politischer Bezirk Suedoststeiermark, Styria	36197	8	702	46.98944	15.83694
Edelschrott	Politischer Bezirk Voitsberg, Styria	3867095	8	1077	47.02156	15.05266
Edelsfeld	Upper Palatinate, Bavaria	1028554	8	2012	49.57644	11.69589
Edelstal	Politischer Bezirk Neusiedl am See, Burgenland	302036	8	747	48.0999	16.9884
Edemissen	Lower Saxony	1182562	8	3600	52.38702	10.2614
Eden	Bega Valley, New South Wales	6041444	9	3118	-37.06675	149.90029
Eden	Concho County, Texas	8057971	8	2786	31.21628	-99.84563
Eden	Erie County, New York	176346	8	3516	42.65228	-78.89698
Eden	Rockingham County, North Carolina	179999	8	15403	36.48847	-79.7667
Eden Hill	Bassendean, Western Australia	11689281	9	3380	-31.88908	115.94675
Eden Hills	Mitcham, South Australia	7390167	9	2882	-35.0211	138.59567
Eden Isle	Saint Tammany Parish, Louisiana	132267	8	7041	30.22853	-89.79867
Eden Park	Whittlesea, Victoria	2406220	9	1165	-37.48333	145.08333
Eden Prairie	Hennepin County, Minnesota	136689	8	63496	44.85469	-93.47079
Eden Valley	Meeker County, Minnesota	137520	8	1036	45.32607	-94.54611
Edenbridge	Kent, England	2298898	10	8172	51.19172	0.06729
Edenderry	Uibh Fhaili, Leinster	4196313	10	7359	53.33948	-7.04752
Edenderry	Uibh Fhaili, Leinster	4257066	10	7359	53.33948	-7.04752
Edenkoben	Rheinland-Pfalz	1252494	8	6668	49.28393	8.12714
Edenkoben	Rheinland-Pfalz	904587	7	6668	49.28393	8.12714
Edens Landing	Logan, Queensland	11677869	9	5042	-27.7027	153.16943
Edensor Park	Fairfield, New South Wales	5539865	9	9739	-33.87971	150.87778
Edenton	Chowan County, North Carolina	179910	8	4849	36.05794	-76.60772
Ederheim	Swabia, Bavaria	962451	8	1146	48.80827	10.46609
Edern	Finistere, Brittany	380888	8	1907	48.10388	-3.97796
Edersleben	Saxony-Anhalt	2397424	8	1173	51.41667	11.28333
Ederveen	Gemeente Ede, Gelderland	334647	10	3100	52.06333	5.57778
Edesheim	Rheinland-Pfalz	1252460	8	2294	49.26333	8.135
Edewecht	Lower Saxony	1186750	8	20658	53.12699	7.98406
Edgar	Marathon County, Wisconsin	251830	8	1462	44.92719	-89.96346
Edgard	Saint John the Baptist Parish, Louisiana	131726	8	2441	30.04326	-90.56009
Edgartown	Dukes County, Massachusetts	2387201	8	4306	41.38901	-70.51336
Edge Hill	Cairns, Queensland	11677117	9	3874	-16.9	145.75
Edgecliff	Woollahra, New South Wales	5718955	9	2670	-33.87952	151.23677
