Eraclea	Provincia di Venezia, Veneto	45320	8	4104	45.57766	12.6732
Eragny	Val d'Oise, Ile-de-France	120957	8	15385	49.01667	2.1
Erandio	Bizkaia, Basque Country	347284	8	24262	43.30438	-2.97352
Erandique	Lempira	10924515	6	1882	14.23787	-88.46447
Erandol	Jalgaon, Maharashtra	10328806	6	30931	20.92206	75.32641
Erath	Vermilion Parish, Louisiana	132075	8	2107	29.95826	-92.03596
Eratsun	Provincia de Navarra, Navarre	343598	8	0	43.08333	-1.8
Erba	Provincia di Como, Lombardy	46140	8	16431	45.8088	9.22609
Erbaa	Tokat	1802575	6	52185	40.66889	36.5675
Erbach	Regierungsbezirk Darmstadt, Hesse	2065214	10	13771	49.66148	8.99402
Erbach	Regierungsbezirk Darmstadt, Hesse	451798	8	13771	49.66148	8.99402
Erbach	Tuebingen Region, Baden-Wurttemberg	2790226	8	13331	48.32841	9.88752
Erbe	Provincia di Verona, Veneto	44471	8	1540	45.24231	10.97135
Erbendorf	Upper Palatinate, Bavaria	975241	8	5364	49.83983	12.04593
Erbes-Budesheim	Rheinland-Pfalz	1248576	8	1385	49.75444	8.03139
Erbezzo	Provincia di Verona, Veneto	45512	8	236	45.6396	11.00057
Erbray	Loire-Atlantique, Pays de la Loire	112483	8	2609	47.65617	-1.31786
Erbree	Ille-et-Vilaine, Brittany	111055	8	1655	48.09828	-1.12496
Erbusco	Provincia di Brescia, Lombardy	45388	8	2860	45.59868	9.97186
Erce-en-Lamee	Ille-et-Vilaine, Brittany	165708	8	1260	47.83003	-1.56027
Erce-pres-Liffre	Ille-et-Vilaine, Brittany	163991	8	1493	48.25604	-1.5169
Erchie	Provincia di Brindisi, Apulia	40484	8	8468	40.43609	17.7361
Ercis	Van	1779032	6	91915	39.02587	43.35964
Ercolano	Napoli, Campania	40788	8	53576	40.80783	14.35012
Ercsi	Fejer	1418513	8	8383	47.25194	18.89623
Ercuis	Oise, Hauts-de-France	901576	8	1486	49.23465	2.30407
Erd	Pest	112435	8	62408	47.39489	18.91361
Erdeborn	Saxony-Anhalt	2408179	10	1117	51.47554	11.63487
Erdek	Balikesir	1814782	6	22678	40.3996	27.79348
Erdemli	Mersin	1827895	6	46570	36.60498	34.30836
Erdeven	Morbihan, Brittany	117492	8	2725	47.6422	-3.15662
Erding	Upper Bavaria, Bavaria	3884045	10	33519	48.30603	11.90686
Erding	Upper Bavaria, Bavaria	934743	8	33519	48.30603	11.90686
Erdmannhausen	Regierungsbezirk Stuttgart, Baden-Wurttemberg	405288	8	4848	48.94256	9.29615
Erdokertes	Pest	1390626	8	5996	47.67261	19.30786
Erdotelek	Heves	1418120	8	3212	47.68333	20.31667
Erdut	Erdut, Osjecko-Baranjska	12877163	8	969	45.52639	19.06028
Erdweg	Upper Bavaria, Bavaria	546905	8	5629	48.3318	11.30339
Erechim	Erechim, Rio Grande do Sul	242622	8	96087	-27.63461	-52.2754
Erechim	Erechim, Rio Grande do Sul	2667839	10	96087	-27.63461	-52.2754
Eregli	Konya	1250945	6	92117	37.51333	34.04672
Erembodegem	Provincie Oost-Vlaanderen, Flanders	4003859	9	12152	50.91905	4.05041
Eremitu	Comuna Eremitu, Mures	12570706	8	3818	46.66667	24.93333
Erenhot	Xilin Gol Meng, Inner Mongolia	10646067	8	16427	43.6475	111.97667
Erenhot	Xilin Gol Meng, Inner Mongolia	2753021	6	16427	43.6475	111.97667
Erenler	Sakarya	1775571	6	0	40.75504	30.39344
Eresing	Upper Bavaria, Bavaria	944923	8	1709	48.087	11.02388
Erezee	Province du Luxembourg, Wallonia	13071639	9	2930	50.29292	5.55815
Erezee	Province du Luxembourg, Wallonia	2452846	8	2930	50.29292	5.55815
Erfde	Schleswig-Holstein	1157804	8	2118	54.3	9.31667
Erfelek	Sinop	1428707	6	3596	41.87926	34.91838
Erftstadt	Regierungsbezirk Koeln, North Rhine-Westphalia	168482	8	51207	50.81481	6.79387
Erfurt	Thuringia	62745	6	213692	50.9787	11.03283
Erfweiler	Rheinland-Pfalz	1251117	8	1250	49.15712	7.81231
Ergersheim	Regierungsbezirk Mittelfranken, Bavaria	356765	8	1169	49.51667	10.33333
Ergli	Erglu pagasts, Madona Municipality	1808970	9	2186	56.89752	25.63668
Ergolding	Lower Bavaria, Bavaria	179445	8	11438	48.57654	12.17102
Ergoldsbach	Lower Bavaria, Bavaria	179310	8	7482	48.69263	12.20442
Ergue-Gaberic	Finistere, Brittany	281839	8	7326	47.99657	-4.02438
Erice	Trapani, Sicily	39450	8	565	38.03785	12.58778
Ericeira	Mafra, Lisbon	6522363	8	7538	38.96275	-9.41563
Erick	Beckham County, Oklahoma	185006	8	1093	35.21533	-99.86649
Erie	Boulder County, Colorado	112307	8	21420	40.05026	-105.04998
Erie	Erie County, Pennsylvania	187550	8	99475	42.12922	-80.08506
Erie	Neosho County, Kansas	129921	8	1105	37.56811	-95.24331
Erie	Whiteside County, Illinois	125740	8	1553	41.65642	-90.07929
Eriksbo	Goeteborgs stad, Vaestra Goetaland	455906	10	2564	57.77141	12.04183
Erimi	Erimi, Limassol	13013880	8	1493	34.67766	32.91815
Erin	Houston County, Tennessee	195483	8	1295	36.31839	-87.69474
Erina	Central Coast, New South Wales	6039384	9	4676	-33.43218	151.38972
Erindale	Burnside, South Australia	9099712	9	1163	-34.92785	138.66313
Ering	Lower Bavaria, Bavaria	957052	8	1885	48.29921	13.15029
Eriskirch	Tuebingen Region, Baden-Wurttemberg	2783822	8	4319	47.62479	9.54197
Eriswil	Oberaargau, Bern	1682429	8	1414	47.07816	7.85149
Erkelenz	Regierungsbezirk Koeln, North Rhine-Westphalia	67333	8	44650	51.07947	6.31531
Erkenbrechtsweiler	Regierungsbezirk Stuttgart, Baden-Wurttemberg	2795577	8	2139	48.55656	9.43211
Erkerode	Lower Saxony	1432640	8	1073	52.20485	10.70982
Erkheim	Swabia, Bavaria	2601528	7	3046	48.0373	10.3357
Erkheim	Swabia, Bavaria	968910	8	3046	48.0373	10.3357
Erkilet	Kayseri	7781466	8	0	38.82043	35.44011
