Hialeah	Miami-Dade County, Florida	118853	8	237069	25.8576	-80.27811
Hialeah Gardens	Miami-Dade County, Florida	118854	8	23926	25.8651	-80.3245
Hiawassee	Towns County, Georgia	119911	8	906	34.94926	-83.75739
Hiawatha	Brown County, Kansas	129961	8	3095	39.8525	-95.53582
Hiawatha	Linn County, Iowa	128355	8	7199	42.03583	-91.68212
Hibaldstow	North Lincolnshire, England	1283946	10	1974	53.51133	-0.52082
Hibbing	Saint Louis County, Minnesota	136660	8	16204	47.42715	-92.93769
Hickman	Fulton County, Kentucky	130554	8	2202	36.57117	-89.18618
Hickman	Lancaster County, Nebraska	169587	8	2079	40.62	-96.62918
Hickory	Catawba County, North Carolina	180166	8	40374	35.73319	-81.3412
Hickory Creek	Denton County, Texas	253959	8	4139	33.12234	-97.04306
Hickory Hills	Cook County, Illinois	123428	8	14122	41.72559	-87.82506
Hickory Withe	Fayette County, Tennessee	197500	8	2973	35.24398	-89.58869
Hicksville	Defiance County, Ohio	182755	8	3457	41.29311	-84.7619
Hicksville	Nassau County, New York	10805170	8	41547	40.76843	-73.52513
Hico	Hamilton County, Texas	113235	8	1326	31.98293	-98.03365
Hidaka	Hidaka-shi, Saitama	1768275	7	55294	35.91664	139.36233
Hidalgo	Hidalgo, Nuevo Leon	5605845	6	16524	25.97205	-100.45029
Hidas	Baranya	575283	8	2274	46.2568	18.4954
Hidden Hills	Los Angeles County, California	3353287	8	1924	34.16028	-118.65231
Hiddenhausen	Regierungsbezirk Detmold, North Rhine-Westphalia	147443	8	20771	52.16667	8.61667
Hiddenhausen	Regierungsbezirk Detmold, North Rhine-Westphalia	3126344	10	20771	52.16667	8.61667
Hideaway	Smith County, Texas	6603612	8	3090	32.49042	-95.45746
Hidrolandia	Hidrolandia, Ceara	14115945	9	10299	-4.40806	-40.43778
Hidrolandia	Hidrolandia, Ceara	302475	8	10299	-4.40806	-40.43778
Hidrolandia	Hidrolandia, Goias	334380	8	7082	-16.96222	-49.22806
Hiendelaencina	Provincia de Guadalajara, Castille-La Mancha	342796	8	143	41.08373	-3.00337
Hienghene	Hienghene, North Province	378432	8	2668	-20.68333	164.93333
Hiep Duc	Quang Nam	7061957	6	0	15.58224	108.11422
Hieres-sur-Amby	Isere, Auvergne-Rhone-Alpes	104647	8	1082	45.79654	5.29333
Hiersac	Charente, Nouvelle-Aquitaine	1528190	8	1037	45.66852	0.00415
Hietzing	Wien Stadt, Vienna	1990591	9	54265	48.18623	16.2965
Higashi-osaka	Higashiosaka Shi, Osaka	358696	7	489077	34.66667	135.58333
Higashimurayama	Higashi-murayama-shi, Tokyo	5302161	7	148275	35.75459	139.46852
Higashine	Higashine Shi, Yamagata	4135043	7	45779	38.43889	140.40056
Higashiyamato	Higashi-murayama-shi, Tokyo	5302160	7	0	35.76298	139.44575
Higgins	Australian Capital Territory	6263200	9	2963	-35.23242	149.0272
Higginsville	Lafayette County, Missouri	140765	8	4662	39.07251	-93.71716
High Bentham	North Yorkshire, England	7282600	10	1680	54.11823	-2.51199
High Bridge	Hunterdon County, New Jersey	170349	8	3556	40.66705	-74.89572
High Coniscliffe	Darlington, England	8132494	10	0	54.53333	-1.65
High Etherley	County Durham, England	8541029	10	2119	54.65391	-1.74363
High Halden	Kent, England	2503990	10	1159	51.10331	0.71394
High Halstow	Medway, England	2338353	10	1662	51.44775	0.55558
High Legh	Cheshire East, England	1400875	10	1145	53.35139	-2.4538
High Ongar	Essex, England	3186149	10	1171	51.70953	0.26221
High Park North	Toronto county, Ontario	9477489	10	22162	43.65626	-79.47454
High Peak	Derbyshire, England	108092	8	92666	53.36797	-1.84536
High Point	Guilford County, North Carolina	180329	8	110268	35.95569	-80.00532
High Ridge	Jefferson County, Missouri	139858	8	4305	38.45894	-90.53651
High Springs	Alachua County, Florida	118867	8	5831	29.82691	-82.59678
High Wycombe	Kalamunda, Western Australia	11689304	9	11990	-31.94444	116.0034
Higham Ferrers	Northamptonshire, England	1674406	10	6222	52.30596	-0.59342
Highbury	Tea Tree Gully, South Australia	9090399	9	6432	-34.85287	138.6975
Highclere	Hampshire, England	3818419	10	2463	51.3386	-1.37569
Highett	Kingston, Victoria	2402668	9	12016	-37.95	145.05
Highfields	Toowoomba, Queensland	11675690	9	7922	-27.46343	151.95386
Highgate	Unley, South Australia	9099552	9	1604	-34.96177	138.6218
Highgate	Vincent, Western Australia	11689211	9	2198	-31.93971	115.87015
Highgate Hill	Brisbane, Queensland	11677742	9	6083	-27.48912	153.01878
Highland	Doniphan County, Kansas	130130	8	1010	39.85972	-95.2697
Highland	Lake County, Indiana	127191	8	22936	41.55365	-87.45198
Highland	Madison County, Illinois	126637	8	9848	38.73949	-89.6712
Highland	San Bernardino County, California	11117406	8	54854	34.12834	-117.20865
Highland	Sharp County, Arkansas	6697446	8	1054	36.2759	-91.52403
Highland	Ulster County, New York	174953	8	5647	41.72093	-73.96014
Highland	Utah County, Utah	198836	8	17989	40.42548	-111.79447
Highland	Vanderburgh County, Indiana	127281	8	4489	38.03976	-87.57307
Highland Beach	Palm Beach County, Florida	1217007	8	3729	26.39952	-80.0656
Highland Heights	Campbell County, Kentucky	130503	8	7183	39.03312	-84.45189
Highland Heights	Cuyahoga County, Ohio	182115	8	8396	41.552	-81.47845
Highland Park	Dallas County, Texas	3480033	8	9189	32.83346	-96.79195
Highland Park	Gold Coast, Queensland	11675431	9	6436	-28.01392	153.33312
Highland Park	Lake County, Illinois	122066	8	29743	42.18169	-87.80034
Highland Park	Middlesex County, New Jersey	170528	8	14347	40.49594	-74.42432
Highland Park	Wayne County, Michigan	134590	8	10949	42.40559	-83.09687
Highland Village	Denton County, Texas	5748831	8	16149	33.09179	-97.04668
Highlands	Monmouth County, New Jersey	170392	8	4867	40.40372	-73.99153
Highley	Shropshire, England	7052557	10	3133	52.44866	-2.38251
Highmore	Hyde County, South Dakota	195063	8	779	44.52137	-99.4415
Highspire	Dauphin County, Pennsylvania	187901	8	2378	40.21092	-76.79108
Highton	Greater Geelong, Victoria	2460750	9	18388	-38.17058	144.3114
Hightown	Sefton, England	7625235	10	2063	53.52452	-3.06192
Hightstown	Mercer County, New Jersey	170948	8	5517	40.26955	-74.52321
Highvale	Moreton Bay, Queensland	11675298	9	1726	-27.37227	152.80195
Highwood	Lake County, Illinois	122065	8	5352	42.19975	-87.80923
Highworth	Borough of Swindon, England	5141066	10	7886	51.63051	-1.711
Higuera de Calatrava	Provincia de Jaen, Andalusia	344391	8	709	37.79848	-4.15737
Higuera de Vargas	Provincia de Badajoz, Extremadura	345646	8	2168	38.447	-6.97517
Higuera de la Serena	Provincia de Badajoz, Extremadura	345644	8	1112	38.64616	-5.74129
Higuera de la Sierra	Provincia de Huelva, Andalusia	343499	8	0	37.83333	-6.45
Higuera de las Duenas	Provincia de Avila, Castille and Leon	347010	8	300	40.23903	-4.60361
Higuera la Real	Provincia de Badajoz, Extremadura	345645	8	2496	38.14088	-6.68922
Higueras	Higueras, Nuevo Leon	5605850	6	1462	25.96007	-100.0152
Higueras	Provincia de Castello, Valencia	346297	8	91	39.98333	-0.5
Higueruela	Provincia de Albacete, Castille-La Mancha	344263	8	1351	38.96371	-1.4437
Higueruelas	Provincia de Valencia, Valencia	343336	8	519	39.78333	-0.85
Hijar	Provincia de Teruel, Aragon	346766	8	1919	41.17429	-0.45112
Hijes	Provincia de Guadalajara, Castille-La Mancha	342795	8	20	41.25139	-2.99989
Hiji	Hayami-gun, Oita	4004871	7	28524	33.37081	131.53025
Hikari	Hikari Shi, Yamaguchi	4079525	7	51040	33.955	131.95
Hikone	Hikone-shi, Shiga	722198	7	110925	35.25	136.25
Hilantagaan	Province of Cebu, Central Visayas	7876809	10	3396	11.1943	123.8131
Hilbersdorf	Saxony	414904	10	1500	50.854	12.94776
Hilbert	Armadale, Western Australia	11689421	9	1516	-32.17818	115.9849
Hilbert	Calumet County, Wisconsin	251443	8	1106	44.14027	-88.16399
Hilchenbach	Regierungsbezirk Arnsberg, North Rhine-Westphalia	1891490	8	16467	50.99687	8.11062
Hildale	Washington County, Utah	198776	8	2927	37.0036	-112.96688
Hildburghausen	Thuringia	1270364	8	12171	50.42553	10.73184
Hildebran	Burke County, North Carolina	179900	8	2000	35.71402	-81.42203
Hilden	Duesseldorf District, North Rhine-Westphalia	66555	8	56565	51.16818	6.93093
Hilders	Regierungsbezirk Kassel, Hesse	11071714	9	4973	50.5719	10.00297
Hilders	Regierungsbezirk Kassel, Hesse	454876	8	4973	50.5719	10.00297
Hildesheim	Lower Saxony	1176503	8	103052	52.15077	9.95112
Hildisrieden	Sursee District, Lucerne	1682859	8	1882	47.15068	8.22582
Hildrizhausen	Regierungsbezirk Stuttgart, Baden-Wurttemberg	722063	8	3474	48.62423	8.96605
Hilgermissen	Lower Saxony	2014321	8	2208	52.85	9.16667
Hilgermissen	Lower Saxony	3901190	10	2208	52.85	9.16667
Hilgert	Rheinland-Pfalz	453344	8	1448	50.45634	7.68735
Hilgertshausen-Tandern	Upper Bavaria, Bavaria	412806	8	3258	48.4296	11.35428
Hill	Merrimack County, New Hampshire	366467	8	1057	43.52424	-71.70091
Hill	South Gloucestershire, England	3574590	10	0	51.65139	-2.51556
Hill City	Graham County, Kansas	129597	8	1467	39.36473	-99.84206
Hill Country Village	Bexar County, Texas	113884	8	1067	29.58245	-98.49085
Hill Top	Wingecarribee, New South Wales	6076630	9	2635	-34.34792	150.4955
Hillarys	Joondalup, Western Australia	11689631	9	11200	-31.80698	115.74045
Hillbank	Playford, South Australia	7385642	9	4565	-34.73588	138.68723
Hillcrest	Burnie, Tasmania	10590495	9	1001	-41.06324	145.89437
Hillcrest	Logan, Queensland	11675388	9	5603	-27.66857	153.02614
Hillcrest	Ogle County, Illinois	122971	8	1280	41.95114	-89.06454
Hillcrest	Port Adelaide Enfield, South Australia	8355433	9	3335	-34.86252	138.64306
Hillcrest	Rockland County, New York	175572	8	7558	41.12787	-74.04097
Hille	Regierungsbezirk Detmold, North Rhine-Westphalia	1335643	10	16567	52.33333	8.75
Hille	Regierungsbezirk Detmold, North Rhine-Westphalia	145260	8	16567	52.33333	8.75
Hillegem	Provincie Oost-Vlaanderen, Flanders	3395506	9	3258	50.89567	3.8531
Hillegom	Gemeente Hillegom, South Holland	272935	10	18419	52.29083	4.58333
Hillegom	Gemeente Hillegom, South Holland	443916	8	18419	52.29083	4.58333
Hillesheim	Rheinland-Pfalz	330923	8	3210	50.29177	6.66963
Hilliard	Franklin County, Ohio	182503	8	33649	40.0334	-83.15825
Hilliard	Nassau County, Florida	1217002	8	3154	30.69107	-81.91733
Hillion	Cotes-d'Armor, Brittany	381225	8	3943	48.51405	-2.66825
Hillman	Rockingham, Western Australia	11689406	9	1795	-32.28327	115.76364
Hillsboro	Highland County, Ohio	183049	8	6557	39.20229	-83.61159
Hillsboro	Hill County, Texas	113504	8	8321	32.01099	-97.13001
Hillsboro	Jefferson County, Missouri	141157	8	3076	38.23228	-90.5629
Hillsboro	Marion County, Kansas	129722	8	2869	38.35196	-97.20447
Hillsboro	Montgomery County, Illinois	124718	8	5726	39.16128	-89.4954
Hillsboro	Traill County, North Dakota	181719	8	1580	47.40387	-97.06203
Hillsboro	Vernon County, Wisconsin	251823	8	1420	43.6522	-90.34402
Hillsboro	Washington County, Oregon	186641	8	102347	45.52289	-122.98983
Hillsboro Beach	Broward County, Florida	1217006	8	2004	26.29397	-80.07893
Hillsborough	Hillsborough County, New Hampshire	361459	8	1976	43.1141	-71.8992
Hillsborough	Orange County, North Carolina	179869	8	6415	36.07542	-79.09973
Hillsborough	San Mateo County, California	112285	8	11451	37.5741	-122.37942
Hillscheid	Rheinland-Pfalz	453345	8	2691	50.40639	7.69861
Hillsdale	Bergen County, New Jersey	170630	8	10559	41.0026	-74.04042
Hillsdale	Botany Bay, New South Wales	5710495	9	5412	-33.95151	151.22784
Hillsdale	Hillsdale County, Michigan	135012	8	8163	41.92005	-84.63051
Hillsdale	Saint Louis County, Missouri	140009	8	1513	38.68338	-90.284
Hillside	Cook County, Illinois	123429	8	8155	41.87781	-87.90284
Hillside	Melton, Victoria	2424068	9	17331	-37.69047	144.74172
Hillside	Union County, New Jersey	170776	8	22155	40.70121	-74.23015
Hillside Lake	Dutchess County, New York	175821	8	1084	41.61482	-73.79819
Hillsville	Carroll County, Virginia	206854	8	2677	36.76263	-80.73479
Hillview	Bullitt County, Kentucky	130668	8	8080	38.06979	-85.68551
Hillvue	Tamworth Municipality, New South Wales	6063587	9	6191	-31.12756	150.90711
Hilongos	Province of Leyte, Eastern Visayas	5426226	6	7329	10.37444	124.74972
Hilotongan	Province of Cebu, Central Visayas	7876808	10	2919	11.144	123.6426
Hilpoltstein	Regierungsbezirk Mittelfranken, Bavaria	158545	8	13069	49.19047	11.1906
Hilsa	Nalanda, Bihar	10279866	6	41110	25.31642	85.28234
Hilsenheim	Bas-Rhin, Grand Est	85694	8	2244	48.28761	7.56348
Hiltenfingen	Swabia, Bavaria	955903	8	1541	48.16085	10.7175
Hilter	Lower Saxony	1086004	8	10173	52.13573	8.14715
Hilterfingen	Thun District, Bern	1682480	8	3841	46.73521	7.66185
Hilton	Cambridgeshire, England	1629153	10	1052	52.27908	-0.11222
Hilton	Fremantle, Western Australia	11689181	9	3861	-32.06208	115.78049
Hiltpoltstein	Upper Franconia, Bavaria	1080460	8	1601	49.66075	11.32272
Hilvan	Sanliurfa	1747582	6	16990	37.58687	38.95505
Hilvarenbeek	Gemeente Hilvarenbeek, North Brabant	1517571	10	7855	51.48583	5.1375
Hilvarenbeek	Gemeente Hilvarenbeek, North Brabant	2078297	8	7855	51.48583	5.1375
Hilversum	Gemeente Hilversum, North Holland	271108	10	83640	52.22333	5.17639
Hilversum	Gemeente Hilversum, North Holland	419190	8	83640	52.22333	5.17639
Hilzingen	Freiburg Region, Baden-Wurttemberg	2785127	8	8258	47.76667	8.78333
Himamaylan	Province of Negros Occidental, Western Visayas	11525214	6	25089	10.09889	122.87056
Himare	Rrethi i Vlores, Vlore	1255539	8	4596	40.10167	19.74472
Himbergen	Lower Saxony	1460224	8	1856	53.09418	10.72909
Himeji	Himeji Shi, Hyogo	900269	7	525682	34.81667	134.7
Himi	Himi Shi, Toyama	4807826	7	43995	36.84666	136.98355
Himmelberg	Politischer Bezirk Feldkirchen, Carinthia	106200	8	563	46.75667	14.03056
Himmelkron	Upper Franconia, Bavaria	1022775	8	3531	50.06667	11.6
Himmelpforten	Lower Saxony	444948	8	4820	53.61413	9.30516
Himmelreich	Politischer Bezirk Salzburg-Umgebung, Salzburg	8176919	10	1186	47.8	12.98333
