O Barco de Valdeorras	Provincia de Ourense, Galicia	10567931	7	13463	42.41642	-6.99005
O Barco de Valdeorras	Provincia de Ourense, Galicia	12565924	9	13463	42.41642	-6.99005
O Barco de Valdeorras	Provincia de Ourense, Galicia	340663	8	13463	42.41642	-6.99005
Obaix	Province du Hainaut, Wallonia	3460860	9	1666	50.52996	4.36089
Obala	Centre	3823025	8	30012	4.16667	11.53333
Obama	Obama-shi, Fukui	4799816	7	29435	35.49576	135.74604
Obanazawa	Obanazawa Shi, Yamagata	4134752	7	20821	38.60333	140.40194
Obando	Obando, Valle del Cauca	1460959	6	10970	4.57583	-75.97389
Obando	Province of Bulacan, Central Luzon	379803	6	59929	14.7098	120.9362
Obanos	Provincia de Navarra, Navarre	340960	8	897	42.68071	-1.78493
Obarsia de Camp	Comuna Obarsia De Camp, Mehedinti	9714875	8	797	44.17222	22.98
Obas	Yarowilca, Huanuco	1954548	8	0	-9.79535	-76.66557
Obbicht	Gemeente Sittard-Geleen, Limburg	1421664	10	1895	51.02833	5.78056
Obdach	Politischer Bezirk Murtal, Styria	3887001	8	1537	47.06667	14.68333
Obdam	Gemeente Koggenland, North Holland	161940	10	5690	52.67583	4.90694
Obecnice	Okres Pribram, Central Bohemia	434171	10	1174	49.71615	13.94731
Obecnice	Okres Pribram, Central Bohemia	441336	8	1174	49.71615	13.94731
Obejo	Province of Cordoba, Andalusia	342883	8	1464	38.13265	-4.80018
Obeliai	Rokiskis, Panevezys	13138536	8	1247	55.96895	25.15648
Obenheim	Bas-Rhin, Grand Est	904964	8	1276	48.35975	7.692
Ober Urdorf	Bezirk Dietikon, Zurich	1682224	8	9205	47.38507	8.42581
Ober-Florsheim	Rheinland-Pfalz	1250227	8	1187	49.68306	8.15528
Ober-Morlen	Regierungsbezirk Darmstadt, Hesse	14292802	10	5967	50.3735	8.69087
Ober-Morlen	Regierungsbezirk Darmstadt, Hesse	447064	8	5967	50.3735	8.69087
Ober-Olm	Rheinland-Pfalz	1239638	8	4133	49.93722	8.18889
Ober-Ramstadt	Regierungsbezirk Darmstadt, Hesse	452412	8	15367	49.83078	8.74887
Obera	Departamento de Obera, Misiones	11569504	8	56528	-27.48706	-55.11994
Obera	Departamento de Obera, Misiones	8827014	10	56528	-27.48706	-55.11994
Oberalm	Politischer Bezirk Hallein, Salzburg	86365	8	4117	47.7	13.1
Oberammergau	Upper Bavaria, Bavaria	937907	8	5344	47.59812	11.06692
Oberasbach	Regierungsbezirk Mittelfranken, Bavaria	1016396	8	17306	49.42275	10.95766
Oberaudorf	Upper Bavaria, Bavaria	2186930	8	4756	47.64822	12.17242
Oberaula	Regierungsbezirk Kassel, Hesse	4055368	9	3481	50.85	9.46667
Oberaula	Regierungsbezirk Kassel, Hesse	452214	8	3481	50.85	9.46667
Oberbergkirchen	Upper Bavaria, Bavaria	940863	8	1629	48.3	12.38333
Oberbiel	Regierungsbezirk Giessen, Hesse	13779927	9	2694	50.5532	8.42797
Oberbipp	Oberaargau, Bern	1682585	8	1440	47.2607	7.66359
Oberboihingen	Regierungsbezirk Stuttgart, Baden-Wurttemberg	2794216	8	5435	48.65	9.36667
Oberbronn	Bas-Rhin, Grand Est	1159785	8	1511	48.9402	7.607
Oberbuchsiten	Bezirk Gaeu, Solothurn	1683560	8	1807	47.31334	7.76836
Oberburg	Emmental District, Bern	1682586	8	2901	47.03665	7.62745
Oberdachstetten	Regierungsbezirk Mittelfranken, Bavaria	534270	8	1720	49.41667	10.43333
Oberderdingen	Karlsruhe Region, Baden-Wurttemberg	119962	8	10515	49.06556	8.80306
Oberderdingen	Karlsruhe Region, Baden-Wurttemberg	1556393	10	10515	49.06556	8.80306
Oberdiessbach	Bern-Mittelland District, Bern	3411235	8	2860	46.84117	7.6173
Oberding	Upper Bavaria, Bavaria	934760	8	5101	48.31667	11.85
Oberdischingen	Tuebingen Region, Baden-Wurttemberg	937764	8	2006	48.3	9.83333
Oberdorf im Burgenland	Politischer Bezirk Oberwart, Burgenland	193393	8	996	47.21667	16.21667
Oberdorla	Thuringia	3134778	9	2296	51.16585	10.42163
Oberdrauburg	Politischer Bezirk Spittal an der Drau, Carinthia	380194	8	331	46.74306	12.97028
Oberegg	Appenzell Inner Rhodes, Appenzell Innerrhoden	1683915	8	1827	47.42531	9.55134
