Ola	Distrito de Ola, Cocle	9363055	8	384	8.42024	-80.65051
Ola	Yell County, Arkansas	13613412	8	1250	35.03231	-93.22323
Olaberria	Provincia de Guipuzcoa, Basque Country	342576	8	930	43.02726	-2.20349
Olaine	Olaine	2019219	7	12584	56.79472	23.9358
Olanu	Comuna Olanu, Valcea	9833326	8	524	44.86667	24.3
Olari	Comuna Olari, Prahova	12821271	8	792	44.78482	26.21728
Olaszliszka	Borsod-Abauj-Zemplen	1453511	8	1799	48.25	21.43333
Olathe	Johnson County, Kansas	130192	8	134305	38.8814	-94.81913
Olathe	Montrose County, Colorado	112645	8	1798	38.60499	-107.98229
Olawa	Powiat olawski, Lower Silesia	2848779	7	33029	50.9466	17.2926
Olawa	Powiat olawski, Lower Silesia	2848780	8	33029	50.9466	17.2926
Olaya	Olaya, Antioquia	1350647	6	710	6.62773	-75.8127
Olba	Provincia de Teruel, Aragon	342902	8	242	40.13333	-0.61667
Olbendorf	Politischer Bezirk Guessing, Burgenland	109782	8	1449	47.18333	16.2
Olbernhau	Saxony	422258	8	11162	50.6587	13.3425
Olbersdorf	Saxony	1311099	8	5948	50.87304	14.77035
Olbersdorf	Saxony	418119	7	5948	50.87304	14.77035
Olbia	Provincia di Sassari, Sardinia	40735	8	60345	40.92337	9.49802
Olbramovice	Okres Znojmo, South Moravian	437049	8	1048	48.9848	16.40239
Olcenengo	Provincia di Vercelli, Piedmont	44801	8	701	45.36346	8.30983
Olching	Upper Bavaria, Bavaria	933493	8	23978	48.2	11.33333
Olcott	Niagara County, New York	176362	8	1241	43.33783	-78.71476
Old Bar	Mid-Coast, New South Wales	6063728	9	4366	-31.9694	152.58807
Old Beach	Brighton, Tasmania	10625236	9	3667	-42.77758	147.26659
Old Bethpage	Nassau County, New York	175641	8	5523	40.7626	-73.45318
Old Bridge	Middlesex County, New Jersey	170790	8	23753	40.41483	-74.36543
Old Erowal Bay	Shoalhaven Shire, New South Wales	6076692	9	1031	-35.0846	150.64568
Old Forge	Lackawanna County, Pennsylvania	187543	8	8048	41.37119	-75.73491
Old Guildford	Fairfield, New South Wales	5552784	9	2682	-33.86429	150.98395
Old Jamestown	Saint Louis County, Missouri	3765009	8	19184	38.83494	-90.28511
Old Jefferson	East Baton Rouge Parish, Louisiana	131749	8	6980	30.38269	-91.01705
Old Noarlunga	Onkaparinga, South Australia	7276039	9	1407	-35.18209	138.50138
Old Orchard Beach	York County, Maine	2021558	8	8624	43.51731	-70.37755
Old Reynella	Onkaparinga, South Australia	7268628	9	3349	-35.10353	138.53365
Old River-Winfree	Chambers County, Texas	6586801	8	1288	29.86828	-94.8327
Old Saybrook	Middlesex County, Connecticut	11059428	8	10627	41.29177	-72.3762
Old Tappan	Bergen County, New Jersey	170658	8	6016	41.01065	-73.99125
Old Toongabbie	Parramatta, New South Wales	5503163	9	3085	-33.78763	150.96897
Old Town	Penobscot County, Maine	132508	8	7624	44.93423	-68.64531
Old Windsor	Royal Borough of Windsor and Maidenhead, England	3870835	10	7168	51.45807	-0.58674
Oldbawn	South Dublin, Leinster	4545931	10	9784	53.27556	-6.3675
Oldcastle	Meath, Leinster	4252704	10	1384	53.76648	-7.16284
Oldeberkoop	Gemeente Ooststellingwerf, Friesland	271034	10	1190	52.93788	6.13089
Oldebroek	Gemeente Oldebroek, Gelderland	2712221	10	3275	52.445	5.90139
Oldebroek	Gemeente Oldebroek, Gelderland	408108	8	3275	52.445	5.90139
Oldehove	Westerkwartier, Groningen	1467962	10	1330	53.30333	6.39583
Oldemarkt	Gemeente Steenwijkerland, Overijssel	2695579	10	2435	52.82083	5.975
Oldenburg	Lower Saxony	62409	6	159218	53.14118	8.21467
Oldenburg in Holstein	Schleswig-Holstein	382421	8	9940	54.29576	10.90156
Oldendorf	Lower Saxony	445790	8	2834	53.58333	9.25
Oldendorf	Schleswig-Holstein	448559	8	1210	53.95341	9.45858
Oldenico	Provincia di Vercelli, Piedmont	44858	8	221	45.40276	8.38103
Oldenswort	Schleswig-Holstein	1397061	8	1278	54.37243	8.93996
Oldenzaal	Gemeente Oldenzaal, Overijssel	1380242	10	31410	52.31333	6.92917
Oldenzaal	Gemeente Oldenzaal, Overijssel	415447	8	31410	52.31333	6.92917
Oldham	Borough of Oldham, England	146925	8	104782	53.54051	-2.1183
Oldisleben	Thuringia	2388435	9	2476	51.30975	11.17112
Oldrisov	Okres Opava, Moravskoslezsky	433809	10	1358	49.9913	17.96074
