O Rosal	Provincia de Pontevedra, Galicia	12649786	9	6029	41.93536	-8.83677
O Rosal	Provincia de Pontevedra, Galicia	345973	8	6029	41.93536	-8.83677
Or Akiva	Haifa	1392848	8	18972	32.5064	34.92087
Or Yehuda	Tel Aviv	1382464	8	36813	32.02923	34.85788
Oradea	Municipiul Oradea, Bihor	10718900	8	206614	47.0458	21.91833
Oradell	Bergen County, New Jersey	170655	8	8218	40.95871	-74.03681
Oradour-sur-Glane	Haute-Vienne, Nouvelle-Aquitaine	116280	8	2088	45.9333	1.03078
Oradour-sur-Vayres	Haute-Vienne, Nouvelle-Aquitaine	116288	8	1713	45.73189	0.86677
Orai	Jalaun, Uttar Pradesh	10015630	6	158265	25.99023	79.45334
Oraison	Alpes-de-Haute-Provence, Provence-Alpes-Cote d'Azur	1138516	8	4399	43.91726	5.91836
Oral	Batys Qazaqstan	3388710	8	330000	51.23333	51.36667
Oran	Scott County, Missouri	141429	8	1277	37.08505	-89.65536
Oran Park	Camden, New South Wales	5509521	9	4728	-34.00564	150.74032
Orana	Albany, Western Australia	11690355	9	2027	-34.99601	117.85925
Orange	Cuyahoga County, Ohio	182092	8	3277	41.44978	-81.48067
Orange	Essex County, New Jersey	170785	8	34457	40.77066	-74.23265
Orange	Franklin County, Massachusetts	1839620	8	4018	42.59036	-72.30981
Orange	New Haven County, Connecticut	8418013	8	13956	41.27843	-73.02566
Orange	Orange County, California	112972	8	140992	33.78779	-117.85311
Orange	Orange County, Texas	8483051	8	19347	30.09299	-93.73655
Orange	Orange County, Virginia	206895	8	4947	38.24541	-78.11083
Orange	Orange Municipality, New South Wales	6058037	9	38408	-33.28397	149.10018
Orange	Vaucluse, Provence-Alpes-Cote d'Azur	187038	8	30530	44.13806	4.81025
Orange Beach	Baldwin County, Alabama	110238	8	5850	30.29437	-87.57359
Orange City	Sioux County, Iowa	128387	8	6198	43.00721	-96.05835
Orange City	Volusia County, Florida	117930	8	11210	28.94888	-81.29867
Orange Cove	Fresno County, California	112452	8	9598	36.62439	-119.31373
Orange Grove	Jim Wells County, Texas	6587492	8	1334	27.95668	-97.93694
Orange Lake	Orange County, New York	175681	8	6982	41.53982	-74.0982
Orange Park	Clay County, Florida	1217219	8	8702	30.16607	-81.70648
Orange Walk	Orange Walk	962355	4	15298	18.08124	-88.56328
Orangeburg	Orangeburg County, South Carolina	193825	8	13460	33.49182	-80.85565
Orangeburg	Rockland County, New York	175805	8	4568	41.04649	-73.94958
Orangevale	Sacramento County, California	11075600	9	33960	38.67851	-121.22578
Orangeville	Emery County, Utah	198928	8	1394	39.22719	-111.0535
Orangeville	Ontario	7480376	8	30734	43.9168	-80.09967
Orangeville	Wollondilly, New South Wales	6076693	9	1236	-34.03108	150.60179
Oranienbaum	Saxony-Anhalt	1327702	10	3476	51.7986	12.40583
Oranienburg	Brandenburg	1310102	8	40793	52.75577	13.24197
Oranit	West Bank	2805908	8	8955	32.13165	34.99094
Oranjemund	Karas	9708367	8	8496	-28.55	16.43333
Oranjewoud	Gemeente Heerenveen, Friesland	1416433	10	1580	52.94579	5.95038
Oranmore	County Galway, Connacht	3887912	10	4990	53.26833	-8.92
Oraovica	Radovish	6882039	8	3776	41.62583	22.51333
Orashac		6834828	8	1179	42.0625	21.79972
Orasje	Federation of B&H	11645229	9	3613	45.03366	18.69334
Oratino	Provincia di Campobasso, Molise	41400	8	931	41.58598	14.59463
Orativ	Vinnytsya Oblast	2751587	9	2786	49.18594	29.52889
Oratorio	Santa Rosa	4470286	6	10155	14.22806	-90.17583
Oravska Lesna	Okres Namestovo, Zilinsky kraj	2166353	9	3500	49.36672	19.18093
Oravska Lesna	Okres Namestovo, Zilinsky kraj	2230124	10	3500	49.36672	19.18093
Oravsky Podzamok	Okres Dolny Kubin, Zilinsky kraj	2149390	10	1319	49.25939	19.3569
Oravsky Podzamok	Okres Dolny Kubin, Zilinsky kraj	2149420	9	1319	49.25939	19.3569
Orba	Provincia de Alicante, Valencia	341448	8	2100	38.78041	-0.06278
Orbara	Provincia de Navarra, Navarre	345310	8	57	42.96728	-1.24213
Orbassano	Torino, Piedmont	43944	8	21813	45.00547	7.53813
Orbe	Jura-Nord vaudois District, Vaud	1685080	8	5132	46.72504	6.53069
Orbec	Calvados, Normandy	135409	8	2703	49.01667	0.41667
Orbetello	Provincia di Grosseto, Tuscany	42015	8	5779	42.44158	11.2214
Orbey	Haut-Rhin, Grand Est	85665	8	3729	48.12651	7.16455
Orbita	Provincia de Avila, Castille and Leon	346878	8	102	40.99846	-4.64833
Orbost	East Gippsland, Victoria	2646112	9	2164	-37.69644	148.457
Orbottyan	Pest	1390624	8	5495	47.68711	19.28239
Orcajo	Provincia de Zaragoza, Aragon	342435	8	36	41.10975	-1.48933
Orce	Provincia de Granada, Andalusia	341944	8	1336	37.7212	-2.47752
Orcera	Provincia de Jaen, Andalusia	344709	8	2116	38.31742	-2.66487
Orcet	Puy-de-Dome, Auvergne-Rhone-Alpes	126316	8	2802	45.70355	3.16884
Orchamps	Jura, Bourgogne-Franche-Comte	148687	8	1040	47.14751	5.65873
Orchamps-Vennes	Doubs, Bourgogne-Franche-Comte	142047	8	1668	47.13042	6.52468
Orchard Grass Hills	Oldham County, Kentucky	130880	8	1711	38.32368	-85.52135
Orchard Hills	Penrith Municipality, New South Wales	5485630	9	1877	-33.7823	150.71088
Orchard Lake	Oakland County, Michigan	134551	8	2245	42.58309	-83.35938
Orchard Mesa	Mesa County, Colorado	113214	8	6836	39.04304	-108.55232
Orchard Mesa	Mesa County, Colorado	113215	8	6836	39.04304	-108.55232
Orchard Mesa	Mesa County, Colorado	113216	8	6836	39.04304	-108.55232
Orcheta	Provincia de Alicante, Valencia	341473	8	1303	38.56397	-0.26299
Orchies	North, Hauts-de-France	56906	8	7692	50.46667	3.23333
Orciano Pisano	Province of Pisa, Tuscany	42470	8	416	43.49444	10.51151
Orciano di Pesaro	Provincia di Pesaro e Urbino, The Marches	6841833	10	1413	43.68938	12.97206
Orcines	Puy-de-Dome, Auvergne-Rhone-Alpes	126909	8	3255	45.78246	3.01234
Orco Feglino	Provincia di Savona, Liguria	42948	8	814	44.22023	8.32455
Orcotuna	Provincia de Concepcion, Junin	1948338	8	4199	-11.96886	-75.3078
Ord	Valley County, Nebraska	169381	8	2061	41.60334	-98.9262
Ordes	Provincia da Coruna, Galicia	10041782	7	12632	43.07654	-8.409
Ordes	Provincia da Coruna, Galicia	346498	8	12632	43.07654	-8.409
Ordes	Provincia da Coruna, Galicia	9466632	9	12632	43.07654	-8.409
Ordino	Ordino	2804758	7	3066	42.55623	1.53319
Ordis	Provincia de Girona, Catalonia	345515	8	328	42.2183	2.90705
Ordona	Provincia di Foggia, Apulia	41235	8	2654	41.31501	15.62832
Ordonez	Departamento de Union, Cordoba	5130789	8	2328	-32.84057	-62.86552
Ordway	Crowley County, Colorado	112672	8	1032	38.21806	-103.75606
Ore City	Upshur County, Texas	6603656	8	1189	32.80014	-94.72076
Orea	Provincia de Guadalajara, Castille-La Mancha	340820	8	263	40.55725	-1.72738
Orebic	Opcina Orebic, Dubrovacko-Neretvanska	14622916	8	1979	42.9767	17.18619
Orechov	Okres Brno-venkov, South Moravian	426782	10	2368	49.11118	16.52329
Orechov	Okres Brno-venkov, South Moravian	442509	8	2368	49.11118	16.52329
Oregon	Dane County, Wisconsin	242789	8	10043	42.92611	-89.38456
Oregon	Holt County, Missouri	141734	8	776	39.98694	-95.14498
Oregon	Lucas County, Ohio	182511	8	20102	41.64366	-83.48688
Oregon	Ogle County, Illinois	125770	8	3580	42.01475	-89.33233
Oregon City	Clackamas County, Oregon	186594	8	35831	45.35734	-122.60676
Oreja	Provincia de Guipuzcoa, Basque Country	346462	8	0	43.09382	-2.01119
Orelia	Kwinana, Western Australia	11689150	9	4549	-32.2333	115.82227
Orellana la Vieja	Provincia de Badajoz, Extremadura	343591	8	3193	39.00617	-5.53441
Orem	Utah County, Utah	198900	8	94457	40.2969	-111.69465
Orendain	Provincia de Guipuzcoa, Basque Country	346887	8	164	43.07896	-2.11201
Orenhofen	Rheinland-Pfalz	1162786	8	1326	49.9	6.65
Orenje	Rrethi i Librazhdit, Elbasan	1250596	8	0	41.28472	20.21194
Orera	Provincia de Zaragoza, Aragon	342432	8	132	41.29842	-1.47849
Orero	Provincia di Genova, Liguria	43126	8	97	44.40835	9.26707
Ores	Provincia de Zaragoza, Aragon	342433	8	103	42.27765	-1.0015
Oresje	Sveta Nedelja, Zagrebacka	10885491	8	1043	45.81618	15.80246
Oreye	Province de Liege, Wallonia	2369338	8	3373	50.73187	5.35818
Orford	Grafton County, New Hampshire	2045559	8	1162	43.90535	-72.14009
Orfordville	Rock County, Wisconsin	252008	8	1495	42.62751	-89.25317
Orgaz	Province of Toledo, Castille-La Mancha	343679	8	2757	39.64826	-3.87577
Orgelet	Jura, Bourgogne-Franche-Comte	140488	8	1752	46.52096	5.61049
Orgeo	Province du Luxembourg, Wallonia	12603023	9	1297	49.8339	5.30646
Orgeres	Ille-et-Vilaine, Brittany	140004	8	3143	47.99847	-1.66828
Orgeres-en-Beauce	Eure-et-Loir, Centre	2165054	8	1072	48.14636	1.6838
Orgerus	Yvelines, Ile-de-France	933871	8	2364	48.83851	1.70132
Orgeval	Yvelines, Ile-de-France	402202	8	5081	48.92162	1.9779
Orgiano	Provincia di Vicenza, Veneto	44722	8	1914	45.33366	11.45953
Orgiva	Provincia de Granada, Andalusia	341943	8	5649	36.90259	-3.42379
Orgon	Bouches-du-Rhone, Provence-Alpes-Cote d'Azur	73930	8	2973	43.79108	5.03869
Orgosolo	Provincia di Nuoro, Sardinia	40271	8	4342	40.2053	9.35445
Orgovany	Bacs-Kiskun	1130371	8	3472	46.75087	19.47259
Orgreave	Rotherham, England	1267861	10	0	53.38333	-1.36667
Orgueil	Tarn-et-Garonne, Occitanie	135950	8	1049	43.90618	1.41071
Orhaneli	Bursa	1273951	6	8959	39.90333	28.99056
Orhangazi	Bursa	1273933	6	51792	40.48917	29.30889
