P'yatypill'ya	Makiivska Miskrada, Donetsk Oblast	2471226	9	3158	48.0159	38.09979
Pyatryshki	Minsk	7549071	10	1946	54.0686	27.2179
Pyetrykaw	Gomel Oblast	5598656	8	10552	52.1289	28.4921
Pyhaejaervi	Nivala-Haapajaervi, North Ostrobothnia	2525816	8	6138	63.66667	25.9
Pyhaejoki	Raahe, North Ostrobothnia	2525924	8	3615	64.46667	24.23333
Pyhaentae	Haapavesi-Siikalatva, North Ostrobothnia	2525817	8	1779	64.1	26.31667
Pyla	Pyla, Larnaka	12988218	8	1434	35.00469	33.68907
Pyle	Bridgend county borough, Wales	9288384	10	13701	51.51667	-3.7
Pylypets	Transcarpathia	6980205	9	1104	48.65899	23.28346
Pymble	City of Sydney, New South Wales	5644408	9	10932	-33.74386	151.14188
Pyrbaum	Upper Palatinate, Bavaria	1028803	8	5836	49.29622	11.28655
Pyrmont	City of Sydney, New South Wales	5724226	9	13549	-33.86985	151.19402
Pyrzyce	Powiat pyrzycki, West Pomerania	2896990	8	12893	53.1462	14.89257
Pysely	Okres Benesov, Central Bohemia	434542	10	1250	49.87678	14.67713
Pysely	Okres Benesov, Central Bohemia	441504	8	1250	49.87678	14.67713
Pyskowice	Powiat gliwicki, Silesia	2812112	7	19018	50.4	18.63333
Pyskowice	Powiat gliwicki, Silesia	6917026	8	19018	50.4	18.63333
Pysznica	Powiat stalowowolski, Subcarpathia	6849010	8	2800	50.56999	22.12913
Pyzdry	Powiat wrzesinski, Greater Poland	2676510	8	3203	52.17056	17.69005
