Sa Pa	Lao Cai	12540572	8	10554	22.34023	103.84415
Sa Pa	Lao Cai	7097141	6	10554	22.34023	103.84415
Sa'ertu	Daqing Shi, Heilongjiang	2755194	6	0	46.58576	125.09501
Sa`adat Shahr	Fars	11142431	7	0	30.07921	53.13464
Saaba	Kadiogo Province, Centre	5675758	6	0	12.37136	-1.41468
Saacy-sur-Marne	Seine-et-Marne, Ile-de-France	412851	8	1866	48.9621	3.21083
Saal	Mecklenburg-Vorpommern	374286	8	1442	54.31051	12.49935
Saalbach	Politischer Bezirk Zell am See, Salzburg	1022090	8	1755	47.39138	12.63642
Saalfeld	Thuringia	1273359	8	28023	50.64826	11.36536
Saalfelden am Steinernen Meer	Politischer Bezirk Zell am See, Salzburg	1022853	8	16790	47.42681	12.848
Saanen	Obersimmental-Saanen District, Bern	1682641	8	6621	46.48945	7.26003
Saarbruecken	Saarland	1187159	8	179349	49.23262	7.00982
Saarburg	Rheinland-Pfalz	1256034	8	6222	49.60641	6.54365
Saarhoelzbach	Saarland	6842790	9	1737	49.51585	6.60742
Saarlouis	Saarland	1184570	8	38333	49.31366	6.75154
Saarlouis	Saarland	5374360	9	38333	49.31366	6.75154
Saarwellingen	Saarland	1184566	8	13930	49.3543	6.80487
Saarwellingen	Saarland	4512972	9	13930	49.3543	6.80487
Saas-Fee	Visp District, Valais	1685362	8	1611	46.10805	7.92741
Saas-Grund	Visp District, Valais	1685363	8	1116	46.12281	7.93651
Saba	Colon	6040147	6	9666	15.46667	-86.25
Sabac	Macva, Central Serbia	6923343	9	55114	44.74667	19.69
Sabadell	Provincia de Barcelona, Catalonia	344202	8	206493	41.54329	2.10942
Sabae	Sabae-shi, Fukui	4799801	7	66291	35.94647	136.18498
Sabaino	Provincia de Antabamba, Apurimac	1929586	8	737	-14.31279	-72.94515
Sabalito	Coto Brus, Puntarenas	8477229	8	0	8.81814	-82.90911
Sabana	Cibuco Barrio, Vega Baja	4467672	9	1946	18.46078	-66.3585
Sabana	Cibuco Barrio, Vega Baja	4467881	9	1946	18.46078	-66.3585
Sabana Eneas	Maresua Barrio, San German	4467983	9	1847	18.08607	-67.08101
Sabana Grande	Sabana Grande Barrio-Pueblo, Sabana Grande	4468043	6	8961	18.07774	-66.96045
Sabana Grande de Palenque	Sabana Grande De Palenque, San Cristobal	7159795	6	4809	18.26256	-70.14821
Sabana Hoyos	Sabana Hoyos Barrio, Arecibo	4468116	9	1823	18.43384	-66.61378
Sabana Iglesia	Sabana Iglesia, Santiago	7380752	6	5135	19.32114	-70.75992
Sabana Seca	Sabana Seca Barrio, Toa Baja	4468539	9	6247	18.42689	-66.18461
Sabana de la Mar	Sabana de La Mar, Hato Mayor	7407668	6	13977	19.05934	-69.38843
Sabanagrande	Francisco Morazan	13775385	6	2056	13.80778	-87.25917
Sabanagrande	Sabanagrande, Atlantico	1341558	6	24880	10.79115	-74.76059
Sabanalarga	Sabanalarga, Antioquia	1316171	6	2517	6.84893	-75.81711
Sabanalarga	Sabanalarga, Atlantico	1341537	6	102334	10.63072	-74.92214
Sabanalarga	Sabanalarga, Casanare	11319147	6	1419	4.8543	-73.04003
Sabaneta	Sabaneta, Antioquia	1307270	6	34172	6.15153	-75.61657
Sabaneta	San Ignacio de Sabaneta, Santiago Rodriguez	3412368	4	16380	19.47793	-71.34125
Sabang	Aceh	9020791	5	42066	5.88969	95.31644
Sabang	Province of Cavite, Calabarzon	11910745	10	3470	14.30556	120.80361
Sabanilla	Alajuela	5646220	8	1015	10.07404	-84.21551
Sabanilla	Sabanilla, Chiapas	5999671	6	3052	17.28384	-92.55315
Sabanitas	Distrito de Colon, Colon	11833469	8	15577	9.34521	-79.80543
Sabanozu	Cankiri	1647158	6	7717	40.48249	33.28352
Sabareni	Comuna Sabareni, Giurgiu	13800003	8	2600	44.50185	25.8882
Sabattus	Androscoggin County, Maine	12180979	8	4694	44.1198	-70.10755
Sabaudia	Provincia di Latina, Lazio	41208	8	8743	41.30025	13.02815
Sabbio Chiese	Provincia di Brescia, Lombardy	45556	8	3231	45.65589	10.42193
Sabbioneta	Provincia di Mantova, Lombardy	44001	8	1624	44.99787	10.48848
Sabden	Lancashire, England	8250763	10	1422	53.83355	-2.33728
Sabero	Provincia de Leon, Castille and Leon	345731	8	1555	42.83593	-5.14875
