Skaidiskes	Vilnius District Municipality, Vilnius	5323050	8	4203	54.61398	25.39573
Skala	Powiat krakowski, Lesser Poland	2748440	8	3635	50.23052	19.85363
Skala-Podilska	Ternopil Oblast	3167483	9	4174	48.85014	26.20064
Skalat	Ternopil Oblast	3167484	9	3814	49.42544	25.97598
Skalavik	Skalavik, Sandoy	2527931	8	171	61.83141	-6.6623
Skalbmierz	Powiat kazimierski, Swietokrzyskie	1560830	8	1291	50.31993	20.39929
Skalica	Okres Skalica, Trnava	2193405	10	15013	48.8449	17.22635
Skalica	Okres Skalica, Trnava	2193425	9	15013	48.8449	17.22635
Skalite	Okres Cadca, Zilinsky kraj	2145249	9	5247	49.49664	18.89706
Skalite	Okres Cadca, Zilinsky kraj	2226178	10	5247	49.49664	18.89706
Skalna	Okres Cheb, Karlovarsky kraj	424567	10	1950	50.1703	12.36144
Skalna	Okres Cheb, Karlovarsky kraj	439441	8	1950	50.1703	12.36144
Skape	Powiat swiebodzinski, Lubusz	3525970	8	421	52.15292	15.45845
Skarszewy	Powiat starogardzki, Pomerania	2615395	8	6942	54.06911	18.44416
Skaryszew	Powiat Radomski, Mazovia	1506145	8	4135	51.31075	21.25233
Skarzysko Koscielne	Powiat skarzyski, Swietokrzyskie	3422747	8	2700	51.13822	20.91196
Skarzysko-Kamienna	Powiat skarzyski, Swietokrzyskie	2908873	8	49410	51.11311	20.87162
Skarzysko-Kamienna	Powiat skarzyski, Swietokrzyskie	2908875	7	49410	51.11311	20.87162
Skaun	Skaun, Trondelag	406540	7	1682	63.25149	10.05236
Skawica	Powiat suski, Lesser Poland	3300832	8	2600	49.67718	19.62321
Skawina	Powiat krakowski, Lesser Poland	2644553	8	23647	49.97524	19.82869
Skawinki	Powiat wadowicki, Lesser Poland	3529348	8	1600	49.82281	19.71256
Skegness	Lincolnshire, England	660847	10	24876	53.14362	0.3363
Skelleftea	Skelleftea Kommun, Vaesterbotten	10663598	8	35516	64.75067	20.95279
Skellingthorpe	Lincolnshire, England	1840661	10	3359	53.23531	-0.61905
Skelton	City of York, England	7222743	10	1549	54	-1.13333
Skenderbegas	Rrethi i Gramshit, Elbasan	1250587	8	0	40.77611	20.24056
Skennars Head	Ballina, New South Wales	6070131	9	1224	-28.82888	153.60209
Skepe	Powiat lipnowski, Kujawsko-Pomorskie	1785455	8	3539	52.86798	19.35604
Skhidnytsia	Lviv Oblast	5569080	9	2259	49.22409	23.35245
Skiatook	Osage County, Oklahoma	185000	8	7880	36.36842	-96.00138
Skidby	East Riding of Yorkshire, England	593715	10	1132	53.78921	-0.46131
Skidel'	Grodnenskaya	4784300	8	10700	53.5904	24.2478
Skien	Skien, Vestfold og Telemark	405166	7	50595	59.20962	9.60897
Skierbieszow	Powiat zamojski, Lublin	7090826	8	1315	50.85158	23.35917
Skierniewice	Skierniewice, Lodz Voivodeship	2414834	8	49042	51.95485	20.15837
Skierniewice	Skierniewice, Lodz Voivodeship	2414842	6	49042	51.95485	20.15837
Skierniewice	Skierniewice, Lodz Voivodeship	2929547	7	49042	51.95485	20.15837
Skippers Corner	New Hanover County, North Carolina	177388	8	2785	34.346	-77.90249
Skipsea	East Riding of Yorkshire, England	582120	10	693	53.97674	-0.22084
Skipton	North Yorkshire, England	7282566	10	14623	53.96144	-2.01676
