Tu Ky	Hai Duong	7133306	6	0	20.81914	106.40661
Tu Nghia	Quang Ngai Province	2518232	6	0	15.08451	108.826
Tual	Maluku	13262353	5	88999	-5.62878	132.75229
Tualatin	Washington County, Oregon	186580	8	27154	45.38401	-122.76399
Tuart Hill	Stirling, Western Australia	11689255	9	6880	-31.89808	115.83495
Tuba City	Coconino County, Arizona	8745851	8	8611	36.13499	-111.23986
Tuba Zangariya	Northern District	1379262	8	6776	32.96606	35.59304
Tuban	East Java	13046736	6	76242	-6.8976	112.0649
Tuban	East Java	9676649	5	76242	-6.8976	112.0649
Tubara	Tubara, Atlantico	1335178	6	8180	10.87562	-74.97873
Tubarao	Tubarao, Santa Catarina	296517	8	67245	-28.46667	-49.00694
Tubbergen	Gemeente Tubbergen, Overijssel	1460179	10	20334	52.4075	6.78472
Tubbergen	Gemeente Tubbergen, Overijssel	414738	8	20334	52.4075	6.78472
Tubilla del Agua	Provincia de Burgos, Castille and Leon	341390	8	232	42.70932	-3.80116
Tubilla del Lago	Provincia de Burgos, Castille and Leon	341388	8	168	41.80154	-3.58625
Tubize	Province du Brabant Wallon, Wallonia	3415701	9	18000	50.69059	4.2009
Tubize	Province du Brabant Wallon, Wallonia	386970	8	18000	50.69059	4.2009
Tuburan	Province of Basilan, Autonomous Region in Muslim Mindanao	3816070	6	8204	6.64389	122.27361
Tubutama	Tubutama, Sonora	5606556	6	348	30.88458	-111.46514
Tucano	Tucano, Bahia	362383	8	31203	-10.95817	-38.79084
Tuchang	Chongqing	10922594	8	17221	29.9253	106.4907
Tucheim	Saxony-Anhalt	3717619	9	1431	52.28923	12.18423
Tuchenbach	Regierungsbezirk Mittelfranken, Bavaria	1016397	8	1185	49.52794	10.85973
Tuchin	Tuchin, Cordoba	1346349	6	0	9.18662	-75.55473
Tuchlovice	Okres Kladno, Central Bohemia	425042	10	2141	50.13803	13.99115
Tuchlovice	Okres Kladno, Central Bohemia	440954	8	2141	50.13803	13.99115
Tuchola	Powiat tucholski, Kujawsko-Pomorskie	3093885	8	13686	53.58792	17.85905
Tuchomerice	Okres Praha-zapad, Central Bohemia	428604	10	1032	50.13543	14.28218
Tuchomerice	Okres Praha-zapad, Central Bohemia	442263	8	1032	50.13543	14.28218
Tuchow	Powiat tarnowski, Lesser Poland	2882316	8	6680	49.89485	21.05407
Tuckahoe	Suffolk County, New York	175776	8	1373	40.89899	-72.41092
Tucker	DeKalb County, Georgia	8417881	8	27581	33.85455	-84.21714
Tuckerman	Jackson County, Arkansas	8540027	8	1759	35.73063	-91.19846
Tuckerton	Ocean County, New Jersey	170881	8	3377	39.60317	-74.34015
Tucquegnieux	Meurthe et Moselle, Grand Est	2117181	8	2791	49.3101	5.89448
Tucson	Pima County, Arizona	253824	8	531641	32.22174	-110.92648
Tucuma	Tucuma, Para	185594	8	38508	-6.7475	-51.16111
Tucuma	Tucuma, Para	6278463	9	38508	-6.7475	-51.16111
Tucume	Provincia de Lambayeque, Lambayeque	1969763	8	7043	-6.50637	-79.85725
Tucupido	Municipio Jose Felix Ribas, Guarico	14504272	8	42633	9.27304	-65.77153
Tucurrique	Jimenez, Cartago	6282209	8	2697	9.85336	-83.72273
Tucuru	Municipio de Tucuru, Alta Verapaz	4557559	6	4772	15.29402	-90.11916
Tuczepy	Powiat buski, Swietokrzyskie	6504005	8	575	50.51676	20.99187
Tuczno	Powiat walecki, West Pomerania	3069344	8	1919	53.19374	16.15368
Tudela	Province of Cebu, Central Visayas	13564406	6	0	10.6383	124.47287
Tudela	Provincia de Navarra, Navarre	339637	8	34717	42.06166	-1.60452
Tudela de Duero	Provincia de Valladolid, Castille and Leon	343773	8	6302	41.5845	-4.58093
Tudelilla	Provincia de La Rioja, La Rioja	346227	8	377	42.30023	-2.11749
Tudi	Chongqing	12296624	8	5433	29.50494	107.89998
Tudun Wada	Tudun Wada, Kano	3710344	6	0	11.24848	8.40109
Tuebingen	Tuebingen Region, Baden-Wurttemberg	2778914	8	83416	48.52266	9.05222
Tuejar	Provincia de Valencia, Valencia	342500	8	1212	39.76667	-1.03333
Tuensang	Tuensang District, Nagaland	2027988	5	33748	26.26704	94.82415
Tuerkenfeld	Upper Bavaria, Bavaria	933546	8	3397	48.10531	11.08303
Tuessling	Upper Bavaria, Bavaria	942026	8	3240	48.21218	12.59954
Tufanbeyli	Adana	1249258	6	5158	38.26333	36.22056
Tufara	Provincia di Campobasso, Molise	41317	8	845	41.48203	14.94654
Tufeni	Comuna Tufeni, Olt	9744239	8	3286	44.36667	24.78333
Tuffe	Sarthe, Pays de la Loire	107651	9	1572	48.11313	0.51424
Tufillo	Provincia di Chieti, Abruzzo	41629	8	462	41.91685	14.62558
Tufino	Napoli, Campania	40937	8	2514	40.95586	14.56568
Tufo	Provincia di Avellino, Campania	41014	8	691	41.01262	14.81784
Tuftonboro	Carroll County, New Hampshire	2023495	8	2288	43.69647	-71.22201
Tuggen	Bezirk March, Schwyz	1683116	8	2671	47.20291	8.94896
Tuggerawong	Central Coast, New South Wales	6037077	9	1246	-33.2804	151.48044
Tuglie	Provincia di Lecce, Apulia	40254	8	5100	40.07346	18.09872
Tuguegarao	Province of Cagayan, Cagayan Valley	3486423	6	166334	17.61577	121.72285
Tugun	Gold Coast, Queensland	11675443	9	6951	-28.15	153.5
Tui	Provincia de Pontevedra, Galicia	12649813	9	17262	42.04713	-8.64435
Tui	Provincia de Pontevedra, Galicia	341383	8	17262	42.04713	-8.64435
Tuili	Provincia del Sud Sardegna, Sardinia	40038	8	1062	39.71477	8.9602
Tuin	Kichevo	6435123	8	1346	41.61944	21.04528
Tuineje	Provincia de Las Palmas, Canary Islands	341080	8	13632	28.32372	-14.04722
Tuk	Gemeente Steenwijkerland, Overijssel	2695561	10	1615	52.79667	6.09444
Tukhlia	Lviv Oblast	8014894	9	1826	48.91634	23.47386
