Uba	Askira-Uba, Borno	3721467	8	11648	10.45509	13.22233
Uba	Uba, Minas Gerais	314927	8	97828	-21.12	-42.94278
Ubaira	Ubaira, Bahia	362388	8	8069	-13.26806	-39.66278
Ubaira	Ubaira, Bahia	6542818	9	8069	-13.26806	-39.66278
Ubaitaba	Ubaitaba, Bahia	362366	8	28375	-14.3125	-39.32333
Ubaitaba	Ubaitaba, Bahia	6618565	9	28375	-14.3125	-39.32333
Ubajara	Ubajara, Ceara	13848196	9	13802	-3.85444	-40.92111
Ubala	Cundinamarca	1354431	6	0	4.74389	-73.53472
Ubaque	Ubaque, Cundinamarca	1346368	6	1009	4.48667	-73.93748
Ubatuba	Ubatuba, Sao Paulo	298203	8	79007	-23.43389	-45.07111
Ubatuba	Ubatuba, Sao Paulo	5683300	9	79007	-23.43389	-45.07111
Ube	Ube Shi, Yamaguchi	4018444	7	173733	33.94306	131.25111
Ubeda	Provincia de Jaen, Andalusia	347991	8	35649	38.01328	-3.3705
Uberach	Bas-Rhin, Grand Est	933542	9	1159	48.8499	7.62934
Uberherrn	Saarland	1184560	8	12071	49.24187	6.6984
Uberherrn	Saarland	5292954	9	12071	49.24187	6.6984
Uberlingen	Tuebingen Region, Baden-Wurttemberg	2784807	8	21507	47.76977	9.17136
Ubersee	Upper Bavaria, Bavaria	941735	8	4896	47.81667	12.48333
Ubiale Clanezzo	Provincia di Bergamo, Lombardy	46024	8	1272	45.78368	9.61935
Ubide	Bizkaia, Basque Country	343781	8	0	43.02396	-2.68759
Ubinas	Provincia de General Sanchez Cerro, Moquegua	1875913	8	498	-16.4	-70.86667
Uboldo	Provincia di Varese, Lombardy	45487	8	9762	45.61527	9.00394
Ubrique	Provincia de Cadiz, Andalusia	346653	8	16979	36.67777	-5.446
Ubstadt-Weiher	Karlsruhe Region, Baden-Wurttemberg	659813	8	12730	49.16296	8.63165
