UEbach-Palenberg	Regierungsbezirk Koeln, North Rhine-Westphalia	157488	8	25544	50.91775	6.12336
UEbelbach	Politischer Bezirk Graz-Umgebung, Styria	34852	8	1078	47.22534	15.23615
UEllo	Pest	1385397	8	12185	47.38771	19.35533
UEmraniye	UEmraniye, Istanbul	1276890	6	0	41.03291	29.10137
UEnye	Ordu	1806116	6	77585	41.13139	37.2825
UErguep	Nevsehir	281359	6	16642	38.6296	34.91199
UEskuedar	Istanbul	1276889	6	582666	41.02274	29.01366
Ueberstorf	Sense District, Fribourg	1683413	8	2133	46.86587	7.30998
Uebeschi	Thun District, Bern	1682697	8	0	46.73774	7.5558
Ueckermuende	Mecklenburg-Vorpommern	1408058	8	11003	53.73795	14.04473
Ueda	Ueda Shi, Nagano	3599783	7	157480	36.40265	138.28161
Uedem	Duesseldorf District, North Rhine-Westphalia	167970	8	8619	51.6652	6.27371
Uehlfeld	Regierungsbezirk Mittelfranken, Bavaria	451740	8	2908	49.67085	10.72017
Uehrde	Lower Saxony	1432641	8	1041	52.09902	10.76523
Uelsen	Lower Saxony	2012532	8	5171	52.5	6.88333
Uelversheim	Rheinland-Pfalz	1245843	8	1162	49.81	8.28861
Uelzen	Lower Saxony	1246442	8	34996	52.96572	10.56111
Uelzen	Lower Saxony	62743	6	34996	52.96572	10.56111
Uenglingen	Saxony-Anhalt	3651557	9	1053	52.61797	11.80893
Uenohara	Uenohara-shi, Yamanashi	4791941	7	23158	35.61667	139.11667
Uerdingen	Duesseldorf District, North Rhine-Westphalia	6047241	10	17888	51.35478	6.63918
Uerkheim	Bezirk Zofingen, Aargau	1684442	8	1302	47.30353	8.0232
Uetendorf	Thun District, Bern	1682698	8	5654	46.77392	7.57251
Uetersen	Schleswig-Holstein	53584	8	17921	53.68769	9.66394
Uetikon	Bezirk Meilen, Zurich	1682220	8	3431	47.26441	8.67925
Uettingen	Regierungsbezirk Unterfranken, Bavaria	180679	8	1887	49.79472	9.73056
Uetze	Lower Saxony	1177827	8	7500	52.46511	10.20467
