Uherce Mineralne	Powiat leski, Subcarpathia	6949742	8	1400	49.46455	22.39829
Uherske Hradiste	Okres Uherske Hradiste, Zlin	432295	10	26421	49.06975	17.45969
Uherske Hradiste	Okres Uherske Hradiste, Zlin	437438	8	26421	49.06975	17.45969
Uhersky Brod	Okres Uherske Hradiste, Zlin	431704	10	17508	49.02513	17.64715
Uhersky Brod	Okres Uherske Hradiste, Zlin	437482	8	17508	49.02513	17.64715
Uhersky Ostroh	Okres Uherske Hradiste, Zlin	433112	10	4526	48.98556	17.38984
Uhersky Ostroh	Okres Uherske Hradiste, Zlin	437484	8	4526	48.98556	17.38984
Uhingen	Regierungsbezirk Stuttgart, Baden-Wurttemberg	2792711	8	14031	48.70475	9.5857
Uhland	Caldwell County, Texas	113319	8	1052	29.95772	-97.78611
Uhldingen-Muhlhofen	Tuebingen Region, Baden-Wurttemberg	2784654	8	8013	47.73333	9.25
Uhlingen-Birkendorf	Freiburg Region, Baden-Wurttemberg	2785693	8	5269	47.71667	8.31667
Uhlirske Janovice	Okres Kutna Hora, Central Bohemia	431777	10	3058	49.88019	15.06481
Uhlirske Janovice	Okres Kutna Hora, Central Bohemia	441845	8	3058	49.88019	15.06481
Uhrichsville	Tuscarawas County, Ohio	182803	8	5404	40.39312	-81.3465
Uhryniv	Ivano-Frankivsk Oblast	3715661	9	3090	48.9552	24.69292
