Us	Val d'Oise, Ile-de-France	357461	8	1248	49.1	1.96667
Usagre	Provincia de Badajoz, Extremadura	344414	8	1992	38.35	-6.16667
Usakos	Erongo	8650367	8	9147	-22	15.6
Uscie Gorlickie	Powiat gorlicki, Lesser Poland	4513010	8	1172	49.52192	21.13821
Uscimow Stary	Powiat lubartowski, Lublin	7776481	8	346	51.46962	22.95516
Uscio	Provincia di Genova, Liguria	43139	8	2163	44.41233	9.16227
Used	Provincia de Zaragoza, Aragon	346624	8	355	41.05554	-1.55954
Usedom	Mecklenburg-Vorpommern	1433091	8	1929	53.87537	13.92394
Useldange	Useldange, Redange	1355531	8	657	49.76972	5.98222
Usera	Provincia de Madrid, Madrid	349469	9	141189	40.38866	-3.70035
Ushachy	Ushatski Rayon, Vitebsk	1180578	8	6071	55.179	28.6158
Usher	Bunbury, Western Australia	11690518	9	2118	-33.37982	115.6292
Ushiku	Ushiku-shi, Ibaraki	2682917	7	80020	35.96667	140.13333
Ushuaia	Departamento de Ushuaia, Tierra del Fuego	11347693	7	58028	-54.81084	-68.31591
Ushuaia	Departamento de Ushuaia, Tierra del Fuego	2296333	8	58028	-54.81084	-68.31591
Usiacuri	Usiacuri, Atlantico	1342483	6	9543	10.74313	-74.97604
Usiazh	Smalyavitski Rayon, Minsk	7566092	10	1500	54.07598	28.00698
Usicayos	Provincia de Carabaya, Puno	1919889	8	0	-14.12472	-69.96611
Usilampatti	Madurai, Tamil Nadu	10313995	6	30675	9.96936	77.78621
Usingen	Regierungsbezirk Darmstadt, Hesse	14072213	9	13511	50.33554	8.53688
Usingen	Regierungsbezirk Darmstadt, Hesse	418438	8	13511	50.33554	8.53688
Usje	Grad Skopje	6966469	8	1054	41.95871	21.45835
Usk	Monmouthshire, Wales	11011290	10	2834	51.70347	-2.90332
Uskup	Kirklareli	14226491	7	2272	41.73583	27.40528
Uslar	Lower Saxony	1397829	8	15951	51.6569	9.63501
Usmate-Velate	Provincia di Monza e della Brianza, Lombardy	45588	8	9059	45.64798	9.36245
Usov	Okres Sumperk, Olomoucky	436964	8	1186	49.79831	17.01055
Usquert	Het Hogeland, Groningen	2518548	10	1275	53.4025	6.61111
Usquil	Provincia de Otuzco, La Libertad	1968060	8	961	-7.81583	-78.41921
Ussac	Correze, Nouvelle-Aquitaine	572351	8	3365	45.19389	1.51337
Ussaramanna	Provincia del Sud Sardegna, Sardinia	40036	8	553	39.6925	8.9085
Usseaux	Torino, Piedmont	44126	8	56	45.04894	7.02851
Usseglio	Torino, Piedmont	44418	8	142	45.23274	7.21993
Ussel	Correze, Nouvelle-Aquitaine	122233	8	11384	45.54804	2.30917
Ussel	Correze, Nouvelle-Aquitaine	2950546	7	11384	45.54804	2.30917
Usson-du-Poitou	Vienne, Nouvelle-Aquitaine	144938	8	1456	46.27803	0.52773
Usson-en-Forez	Loire, Auvergne-Rhone-Alpes	555218	8	1262	45.39174	3.94142
Ust'-Izhora	St.-Petersburg	337851	8	1354	59.81194	30.58139
Ust-Chorna	Tyachiv Raion, Transcarpathia	4580539	9	1560	48.32472	23.93439
Ustaritz	Pyrenees-Atlantiques, Nouvelle-Aquitaine	166896	8	5662	43.39991	-1.45696
Ustek	Okres Litomerice, Ustecky kraj	427448	10	2664	50.58474	14.34332
Ustek	Okres Litomerice, Ustecky kraj	439175	8	2664	50.58474	14.34332
Uster	Bezirk Uster, Zurich	1682225	8	23279	47.34713	8.72091
Ustersbach	Swabia, Bavaria	452578	8	1214	48.31667	10.65
Usti nad Labem	Okres Usti nad Labem, Ustecky kraj	434262	10	90378	50.6607	14.03227
Usti nad Labem	Okres Usti nad Labem, Ustecky kraj	440166	8	90378	50.6607	14.03227
Usti nad Orlici	Okres Usti nad Orlici, Pardubicky	428237	10	15151	49.97387	16.39361
Usti nad Orlici	Okres Usti nad Orlici, Pardubicky	441208	8	15151	49.97387	16.39361
Ustica	Palermo, Sicily	39708	8	819	38.70985	13.19293
Ustka	Powiat slupski, Pomerania	2602350	7	16250	54.58048	16.86194
Ustka	Powiat slupski, Pomerania	2602351	8	16250	54.58048	16.86194
Ustron	Powiat cieszynski, Silesia	2816526	8	15637	49.72153	18.80198
Ustron	Powiat cieszynski, Silesia	2816527	7	15637	49.72153	18.80198
Ustrzyki Dolne	Powiat bieszczadzki, Subcarpathia	1748165	8	9610	49.4304	22.59381
Usuki	Usuki Shi, Oita	4004829	7	35001	33.12342	131.80401
Usumatlan	Zacapa	4559577	6	4987	14.94779	-89.77712
Usurbil	Provincia de Guipuzcoa, Basque Country	342236	8	5559	43.27164	-2.04912
