LAD21CD/E06000010	Kingston upon Hull, City of
LAD21CD/E06000019	Herefordshire, County of
LAD21CD/E06000023	Bristol, City of
LAD21CD/E06000047	County Durham
LAD21CD/E06000049	Cheshire East
LAD21CD/E06000050	Cheshire West and Chester
LAD21CD/E06000052	Cornwall
LAD21CD/E06000056	Central Bedfordshire
LAD21CD/E06000058	Bournemouth, Christchurch and Poole
LAD21CD/E07000008	Cambridge
LAD21CD/E07000028	Carlisle
LAD21CD/E07000029	Copeland
LAD21CD/E07000034	Chesterfield
LAD21CD/E07000069	Castle Point
LAD21CD/E07000070	Chelmsford
LAD21CD/E07000071	Colchester
LAD21CD/E07000078	Cheltenham
LAD21CD/E07000079	Cotswold
LAD21CD/E07000106	Canterbury
LAD21CD/E07000118	Chorley
LAD21CD/E07000130	Charnwood
LAD21CD/E07000163	Craven
LAD21CD/E07000177	Cherwell
LAD21CD/E07000192	Cannock Chase
LAD21CD/E07000225	Chichester
LAD21CD/E07000226	Crawley
LAD21CD/E08000026	Coventry
LAD21CD/E08000033	Calderdale
LAD21CD/E09000001	City of London
LAD21CD/E09000007	Camden
LAD21CD/E09000008	Croydon
LAD21CD/N09000004	Causeway Coast and Glens
LAD21CD/S12000005	Clackmannanshire
LAD21CD/S12000036	City of Edinburgh
LAD21CD/W06000003	Conwy
LAD21CD/W06000008	Ceredigion
LAD21CD/W06000010	Carmarthenshire
LAD21CD/W06000015	Cardiff
LAD21CD/W06000018	Caerphilly
MSOA21CD/E02000001	City of London
MSOA21CD/E02000003	Chadwell Heath East
MSOA21CD/E02000007	Central Park & Frizlands Lane
MSOA21CD/E02000020	Creekmouth & Barking Riverside
MSOA21CD/E02000045	Colney Hatch
MSOA21CD/E02000046	Church End
MSOA21CD/E02000048	Copthall & Downage
MSOA21CD/E02000064	Childs Hill
MSOA21CD/E02000065	Crossway Park
MSOA21CD/E02000072	Slade Green & Crayford Marshes
MSOA21CD/E02000074	Lesney Farm & Colyers East
MSOA21CD/E02000083	Crayford
MSOA21CD/E02000107	Cricklewood Anson Road
MSOA21CD/E02000117	Church End
MSOA21CD/E02000128	Chislehurst North
MSOA21CD/E02000131	Crystal Palace Park
MSOA21CD/E02000133	Chislehurst West & Elmstead
MSOA21CD/E02000136	Chislehurst East & Hoblingwell Wood
MSOA21CD/E02000139	Clock House & Cator Park
MSOA21CD/E02000157	Crofton
MSOA21CD/E02000160	Hayes South & Coney Hall
MSOA21CD/E02000163	Chelsfield & Green Street Green
MSOA21CD/E02000177	Chalk Farm
MSOA21CD/E02000180	Camden Road South
MSOA21CD/E02000184	Camden Street & Elm Village
MSOA21CD/E02000186	Camden Town & Mornington Crescent
MSOA21CD/E02000194	Crystal Palace Triangle
MSOA21CD/E02000217	Croydon Minster & Waddon North
MSOA21CD/E02000222	Croham
MSOA21CD/E02000234	Coulsdon
MSOA21CD/E02000253	Cuckoo Park
MSOA21CD/E02000255	Drayton Green & Cleveland
MSOA21CD/E02000280	Chase & Crews Hill
MSOA21CD/E02000281	Carterhatch & Forty Hall
MSOA21CD/E02000284	Chase Side
MSOA21CD/E02000286	Chase Farm & The Ridgeway
MSOA21CD/E02000287	Cockfosters & Hadley Wood
MSOA21CD/E02000324	Charlton Village
MSOA21CD/E02000326	Charlton Slopes
MSOA21CD/E02000350	Stoke Newington East & Cazenove
MSOA21CD/E02000352	Clissold North
MSOA21CD/E02000356	Clissold South
MSOA21CD/E02000394	Sands End & Chelsea Harbour
MSOA21CD/E02000413	Fortis Green & Coldfall
MSOA21CD/E02000429	Crouch End West
MSOA21CD/E02000430	Crouch End East
MSOA21CD/E02000434	Canons Park
MSOA21CD/E02000466	Havering-atte-Bower & Chase Cross
MSOA21CD/E02000468	Collier Row & Park Farm
MSOA21CD/E02000476	Central Romford
MSOA21CD/E02000481	Cranham East
MSOA21CD/E02000482	Upminster North & Cranham West
MSOA21CD/E02000487	Upminster South & Corbets Tey
MSOA21CD/E02000511	Charville
MSOA21CD/E02000525	Harlington & Cranford Cross
MSOA21CD/E02000526	Chiswick North East
MSOA21CD/E02000532	Chiswick South East
MSOA21CD/E02000533	Chiswick South West
MSOA21CD/E02000538	Cranford
MSOA21CD/E02000567	Canonbury East & Mildmay Park
MSOA21CD/E02000568	Caledonian Road
MSOA21CD/E02000569	Islington North & Canonbury West
MSOA21CD/E02000575	Clerkenwell
MSOA21CD/E02000594	Chelsea Manor & Royal Hospital
MSOA21CD/E02000595	Chelsea Riverside East
MSOA21CD/E02000597	Chelsea Riverside West
MSOA21CD/E02000599	Kingston Vale & Coombe Hill
MSOA21CD/E02000616	Chessington North
MSOA21CD/E02000617	Chessington South & Malden Rushett
MSOA21CD/E02000629	Clapham North
MSOA21CD/E02000630	Clapham Old Town
MSOA21CD/E02000634	Clapham Common North
MSOA21CD/E02000636	Clapham South
MSOA21CD/E02000639	Clapham Park East & Streatham Hill North
MSOA21CD/E02000640	Clapham Park West
MSOA21CD/E02000667	Crofton Park
MSOA21CD/E02000670	Catford East & Mountsfield Park
MSOA21CD/E02000672	Catford Bridge
MSOA21CD/E02000674	Corbett Estate
MSOA21CD/E02000677	Culverley Green
MSOA21CD/E02000683	Chinbrook
MSOA21CD/E02000693	Colliers Wood
MSOA21CD/E02000698	Cottenham Park
MSOA21CD/E02000709	Cannon Hill
MSOA21CD/E02000740	Canning Town North
MSOA21CD/E02000743	Canning Town Central
MSOA21CD/E02000744	Canning Town East
MSOA21CD/E02000747	Canning Town South & Bow Creek
MSOA21CD/E02000749	Custom House
MSOA21CD/E02000758	Clayhall North
MSOA21CD/E02000813	Canada Water
MSOA21CD/E02000815	Elephant & Castle
MSOA21CD/E02000826	Camberwell North
MSOA21CD/E02000827	Camberwell Green
MSOA21CD/E02000830	Camberwell South
MSOA21CD/E02000854	Carshalton Village
MSOA21CD/E02000855	Cheam High Street
MSOA21CD/E02000859	Carshalton on the Hill
MSOA21CD/E02000861	Carshalton Beeches & Banstead Road
MSOA21CD/E02000863	Orchard Hill, Woodcote Green & Clockhouse
MSOA21CD/E02000869	Columbia Road
MSOA21CD/E02000895	Chingford Green West
MSOA21CD/E02000896	Chingford Green East
MSOA21CD/E02000899	Chingford Mount
MSOA21CD/E02000926	St Mary's & Cotton Row
MSOA21CD/E02000931	Clapham Common West
MSOA21CD/E02000934	Clapham Junction & East Hill
MSOA21CD/E02000968	Church Street
MSOA21CD/E02000979	Central Westminster
MSOA21CD/E02000999	Central Bolton
MSOA21CD/E02001047	Charlestown
MSOA21CD/E02001048	Crumpsall North & Heaton Park
MSOA21CD/E02001052	Crumpsall South
MSOA21CD/E02001056	Clayton Vale
MSOA21CD/E02001073	Chorlton North
MSOA21CD/E02001077	Chorlton South
