LAD21CD/E06000011	East Riding of Yorkshire
LAD21CD/E07000009	East Cambridgeshire
LAD21CD/E07000030	Eden
LAD21CD/E07000036	Erewash
LAD21CD/E07000040	East Devon
LAD21CD/E07000041	Exeter
LAD21CD/E07000061	Eastbourne
LAD21CD/E07000072	Epping Forest
LAD21CD/E07000085	East Hampshire
LAD21CD/E07000086	Eastleigh
LAD21CD/E07000137	East Lindsey
LAD21CD/E07000193	East Staffordshire
LAD21CD/E07000207	Elmbridge
LAD21CD/E07000208	Epsom and Ewell
LAD21CD/E07000242	East Hertfordshire
LAD21CD/E07000244	East Suffolk
LAD21CD/E09000009	Ealing
LAD21CD/E09000010	Enfield
LAD21CD/S12000008	East Ayrshire
LAD21CD/S12000010	East Lothian
LAD21CD/S12000011	East Renfrewshire
LAD21CD/S12000045	East Dunbartonshire
MSOA21CD/E02000004	Eastbrookend
MSOA21CD/E02000029	New Barnet Town & East Barnet
MSOA21CD/E02000036	Edgware East
MSOA21CD/E02000037	Edgware Park
MSOA21CD/E02000041	Edgware Central
MSOA21CD/E02000052	East Finchley
MSOA21CD/E02000068	Erith East
MSOA21CD/E02000069	Erith West
MSOA21CD/E02000099	Preston Park & East Lane
MSOA21CD/E02000133	Chislehurst West & Elmstead
MSOA21CD/E02000150	Eden Park & Bethlem
MSOA21CD/E02000184	Camden Street & Elm Village
MSOA21CD/E02000188	Euston
MSOA21CD/E02000256	Ealing Broadway West
MSOA21CD/E02000261	East Acton
MSOA21CD/E02000264	Ealing Common & Twyford Ave
MSOA21CD/E02000272	Elthorne Park
MSOA21CD/E02000279	Enfield Lock
MSOA21CD/E02000282	Enfield Wash
MSOA21CD/E02000285	Enfield Town North
MSOA21CD/E02000291	Enfield Town South & Bush Hill Park
MSOA21CD/E02000306	Edmonton Green
MSOA21CD/E02000335	Eltham North
MSOA21CD/E02000337	Eltham West
MSOA21CD/E02000339	Eltham Park
MSOA21CD/E02000340	Eltham South
MSOA21CD/E02000391	Parsons Green East & Eel Brook Common
MSOA21CD/E02000439	Edgware West
MSOA21CD/E02000463	Earlsmead
MSOA21CD/E02000478	Emerson Park
MSOA21CD/E02000486	Elm Park East
MSOA21CD/E02000489	Elm Park West
MSOA21CD/E02000499	Eastcote
MSOA21CD/E02000591	Earl's Court
MSOA21CD/E02000723	East Ham North
MSOA21CD/E02000731	East Ham Central
MSOA21CD/E02000732	East Ham West
MSOA21CD/E02000737	East Ham South
MSOA21CD/E02000738	East Ham South West
MSOA21CD/E02000788	East Sheen North
MSOA21CD/E02000815	Elephant & Castle
MSOA21CD/E02000836	East Dulwich
MSOA21CD/E02000934	Clapham Junction & East Hill
MSOA21CD/E02000936	East Putney
MSOA21CD/E02000941	Earlsfield North
MSOA21CD/E02000946	Earlsfield South
MSOA21CD/E02000984	Dunscar & Egerton
MSOA21CD/E02000986	Eagley & Sharples
MSOA21CD/E02001028	Elton Vale
MSOA21CD/E02001059	Beswick, Eastlands & Openshaw Park
MSOA21CD/E02001089	East Didsbury
MSOA21CD/E02001169	Ellenbrook & Boothstown
MSOA21CD/E02001176	Eccles
MSOA21CD/E02001202	Edgeley
MSOA21CD/E02001369	Everton West
MSOA21CD/E02001370	Everton East
MSOA21CD/E02001377	Edge Hill
MSOA21CD/E02001414	Eccleston
MSOA21CD/E02001415	Earlestown North
MSOA21CD/E02001418	Earlestown South
MSOA21CD/E02001423	Eccleston Park
MSOA21CD/E02001471	Egremont
MSOA21CD/E02001495	Egerton Park
MSOA21CD/E02001508	Eastham
MSOA21CD/E02001537	Elsecar
MSOA21CD/E02001549	Edenthorpe & Mere Lane
MSOA21CD/E02001572	Edlington
MSOA21CD/E02001590	East Herringthorpe
MSOA21CD/E02001591	Eastwood & East Dene
MSOA21CD/E02001615	Grenoside & Ecclesfield North
MSOA21CD/E02001616	Ecclesfield South
MSOA21CD/E02001648	Endcliffe & Ranmoor
MSOA21CD/E02001657	Ecclesall & Greystones
MSOA21CD/E02001704	Easedale Gardens
MSOA21CD/E02001762	East Benton
MSOA21CD/E02001789	Cleadon & East Boldon
MSOA21CD/E02001849	Erdington Town
MSOA21CD/E02001881	Belchers Lane & Eastfield Road
MSOA21CD/E02001890	Edgbaston North
MSOA21CD/E02001905	Edgbaston South & University
MSOA21CD/E02001982	Eastern Green & Tanyard Farm
MSOA21CD/E02001989	Earl Place & Lime Tree Park
MSOA21CD/E02001991	Earlsdon & Canley Gardens
MSOA21CD/E02001992	Ernesford Grange & Stoke Aldermoor
MSOA21CD/E02002010	New Dock & Eve Hill
MSOA21CD/E02002091	Elmdon Park
MSOA21CD/E02002095	Elmdon Heath & Catherine-de-Barnes
MSOA21CD/E02002166	East Park
MSOA21CD/E02002177	Ettingshall
MSOA21CD/E02002180	Ettingshall Park
MSOA21CD/E02002188	Riddlesden & East Morton
MSOA21CD/E02002190	Keighley Central & East
MSOA21CD/E02002192	Crossflatts & Eldwick
MSOA21CD/E02002199	Thackley & Esholt
MSOA21CD/E02002208	Eccleshill
MSOA21CD/E02002227	Broomfields & East Bowling
MSOA21CD/E02002268	Elland
MSOA21CD/E02002288	Earlsheaton & Chickenley
MSOA21CD/E02002304	Edgerton & Marsh
MSOA21CD/E02002324	Emley & Skelmanthorpe
MSOA21CD/E02002404	East End Park & Richmond Hill
MSOA21CD/E02002436	Tingley East & East Ardsley
MSOA21CD/E02002457	Eastmoor
MSOA21CD/E02002509	Easterside
MSOA21CD/E02002525	Eston
MSOA21CD/E02002530	Boosbeck, Lingdale & Easington
MSOA21CD/E02002546	Eastbourne & Newham Grange
MSOA21CD/E02002547	Elm Tree & Grangefield
MSOA21CD/E02002555	Eaglescliffe
MSOA21CD/E02002627	Ewood & Fernhurst
MSOA21CD/E02002629	East Darwen
MSOA21CD/E02002632	Tockholes, Edgworth & Hoddlesden
