LAD21CD/E06000046	Isle of Wight
LAD21CD/E06000053	Isles of Scilly
LAD21CD/E07000202	Ipswich
LAD21CD/E09000019	Islington
LAD21CD/S12000018	Inverclyde
LAD21CD/W06000001	Isle of Anglesey
MSOA21CD/E02000504	Ickenham
MSOA21CD/E02000545	Isleworth & Ivybridge
MSOA21CD/E02000569	Islington North & Canonbury West
MSOA21CD/E02000571	Islington East & Arlington
MSOA21CD/E02000776	Ilford North East
MSOA21CD/E02000779	Ilford North West
MSOA21CD/E02000782	Ilford South West
MSOA21CD/E02001298	Ince-in-Makerfield
MSOA21CD/E02001444	Formby South East & Ince Blundell
MSOA21CD/E02001499	Thurstaston & Irby
MSOA21CD/E02001535	Ingbirchworth, Dunford Bridge & Thurgoland
MSOA21CD/E02001556	Intake
MSOA21CD/E02001662	Intake
MSOA21CD/E02002183	Addingham & Ilkley Moor
MSOA21CD/E02002184	Ilkley & Ben Rhydding
MSOA21CD/E02002201	Idle
MSOA21CD/E02002215	Toller Lane & Infirmary
MSOA21CD/E02002244	Illingworth & Ogden
MSOA21CD/E02002348	Lawnswood & Ireland Wood
MSOA21CD/E02002556	Ingleby Barwick East & Hilton
MSOA21CD/E02002622	Shadsworth & Intack
MSOA21CD/E02002662	Ings
MSOA21CD/E02002726	Immingham & Habrough
MSOA21CD/E02002937	Ironbridge, Admaston & Higher Ercall
MSOA21CD/E02003092	Charfield, Wickwar & Iron Acton
MSOA21CD/E02003185	Iford
MSOA21CD/E02003576	Itchen
MSOA21CD/E02003695	Iver & Richings Park
MSOA21CD/E02003738	Isleham, Fordham & Chippenham
MSOA21CD/E02003780	HIston, Impington & Orchard Park
MSOA21CD/E02003918	Illogan & Portreath
MSOA21CD/E02003922	Pool & Illogan Highway
MSOA21CD/E02003988	Brampton & Irthing
MSOA21CD/E02004033	Ripley East, Riddings & Ironville
MSOA21CD/E02004035	Ambergate, Heage & Idridgehay
MSOA21CD/E02004060	Inkersall Green & Duckmanton
MSOA21CD/E02004080	Ilkeston Town
MSOA21CD/E02004175	Ilfracombe East
MSOA21CD/E02004177	Ilfracombe West
MSOA21CD/E02004185	Fremington & Instow
MSOA21CD/E02004193	Ivybridge
MSOA21CD/E02004219	Ipplepen & Broadhempston
MSOA21CD/E02004259	Child Okeford & Iwerne Minster
MSOA21CD/E02004465	Ingatestone & Mountnessing
MSOA21CD/E02004472	Herongate, Ingrave & West Horndon
MSOA21CD/E02004672	Churchdown & Innsworth
MSOA21CD/E02004788	Ringwood North & Ibsley
MSOA21CD/E02004830	Springvale & Itchen Abbas
MSOA21CD/E02004922	Ickleford, Great Offley & Whitwell
MSOA21CD/E02005009	Hamstreet & Isle of Oxney
MSOA21CD/E02005066	Istead Rise & Meopham
MSOA21CD/E02005121	Iwade & Kemsley
MSOA21CD/E02005180	Habergham & Ightenhill
MSOA21CD/E02005257	Ingol
MSOA21CD/E02005327	Pilling, Great Eccleston & Inskip
MSOA21CD/E02005409	Ibstock & Ellistown
