LAD21CD/E07000077	Uttlesford
MSOA21CD/E02000027	Ducks Island & Underhill
MSOA21CD/E02000195	Upper Norwood
MSOA21CD/E02000208	University Hospital & Queen's Road
MSOA21CD/E02000309	Upper Edmonton East & Meridian Water
MSOA21CD/E02000482	Upminster North & Cranham West
MSOA21CD/E02000485	Upminster Bridge
MSOA21CD/E02000487	Upminster South & Corbets Tey
MSOA21CD/E02000506	Uxbridge Common & Swakeleys
MSOA21CD/E02000508	Uxbridge Central & Brunel
MSOA21CD/E02000509	Uxbridge West
MSOA21CD/E02000680	Upper Sydenham
MSOA21CD/E02000730	Upton Park
MSOA21CD/E02000909	Upper Walthamstow
MSOA21CD/E02000954	Upper Tooting
MSOA21CD/E02001035	Unsworth
MSOA21CD/E02001063	Hulme & University
MSOA21CD/E02001117	Greenfield & Uppermill
MSOA21CD/E02001267	Urmston East
MSOA21CD/E02001268	Urmston West
MSOA21CD/E02001484	Upton West
MSOA21CD/E02001485	Noctorum North & Upton East
MSOA21CD/E02001511	Shafton & Upper Cudworth
MSOA21CD/E02001633	Upper Stannington & Loxley
MSOA21CD/E02001636	Upperthorpe, Netherthorpe & Langsett
MSOA21CD/E02001797	Springwell & Usworth
MSOA21CD/E02001848	Upper Witton
MSOA21CD/E02001905	Edgbaston South & University
MSOA21CD/E02001999	Cannon Park & University
MSOA21CD/E02002006	Upper Gornal & Ruiton
MSOA21CD/E02002094	Ulverley Green & Langley
MSOA21CD/E02002179	Upper Penn
MSOA21CD/E02002217	Undercliffe
MSOA21CD/E02002226	Shearbridge & University
MSOA21CD/E02002277	Upper Batley & Soothill
MSOA21CD/E02002312	Aspley, Longley & University
MSOA21CD/E02002328	Upperthong & Holmbridge
MSOA21CD/E02002392	University & Little Woodhouse
MSOA21CD/E02002396	Bramley South & Upper Armley
MSOA21CD/E02002478	Upton
MSOA21CD/E02002534	Guisborough Outer & Upleatham
MSOA21CD/E02002575	Upton Rocks
MSOA21CD/E02002663	University & Newland North
MSOA21CD/E02002752	Barnetby, Ulceby & Killingholme
MSOA21CD/E02002794	Fulford, Heslington & University
MSOA21CD/E02002867	Uppingham, Lyddington & Braunston
MSOA21CD/E02002967	Bentilee & Ubberley
MSOA21CD/E02003016	Upper Horfield
MSOA21CD/E02003157	Upton & Hele
MSOA21CD/E02003216	Upper Stratton
MSOA21CD/E02003417	Central Slough & Upton Court
MSOA21CD/E02003557	Highfield & University
MSOA21CD/E02003559	Upper Shirley
MSOA21CD/E02003636	Barton-le-Clay & Upper Sundon
MSOA21CD/E02003796	Upton East
MSOA21CD/E02003797	Upton West & Heath
MSOA21CD/E02003827	Crewe Coppenhall & Underwood
MSOA21CD/E02003998	Currock & Upperby
MSOA21CD/E02004012	Askham, Ullswater & Greystoke
MSOA21CD/E02004026	Ulverston
MSOA21CD/E02004108	Dronfield Town & Unstone
MSOA21CD/E02004129	Dunkeswell, Upottery & Stockland
MSOA21CD/E02004135	Kilmington, Colyton & Uplyme
MSOA21CD/E02004149	Pennsylvania & University
MSOA21CD/E02004166	Uffculme & Hemyock
MSOA21CD/E02004264	Upton & Lytchett Minster
MSOA21CD/E02004288	Underhill & The Grove
MSOA21CD/E02004316	Esh Winning & Ushaw Moor
MSOA21CD/E02004363	Upperton
MSOA21CD/E02004411	Uckfield Town & North
MSOA21CD/E02004414	Uckfield South
MSOA21CD/E02004522	Wivenhoe & University
MSOA21CD/E02004651	Upton St Leonards & Hardwicke
MSOA21CD/E02004659	Leonard Stanley & Uley
MSOA21CD/E02005021	Blean Forest, Chartham Hatch & University
MSOA21CD/E02005045	Mill Hill, Upper Deal & Northbourne
MSOA21CD/E02005122	Newington, Halstow & Upchurch
MSOA21CD/E02005239	University, Galgate & Dolphinholme
MSOA21CD/E02005264	Plungington & University
MSOA21CD/E02005318	Upholland
MSOA21CD/E02005446	Wharf & University
MSOA21CD/E02005487	Langtoft, Thurlby & Uffington
MSOA21CD/E02005533	Blofield, Lingwood & Upton
MSOA21CD/E02005566	Upwell, Delph & Emneth
